blkgrp,households,residential_density,gross_hh_density,block_denstiy,intersection_density,employment_access_index,job_diversity_index,average_median_commute_distance,per_capita_income,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_ht_own,hh_type2_h_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_ht_own,hh_type3_h_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_ht_own,hh_type4_h_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_ht_own,hh_type5_h_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_ht_own,hh_type6_h_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_ht_own,hh_type7_h_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_ht_own,hh_type8_h_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips
'090010101011',291,0.86173,0.52749,0.03082,0.10332,30077.96289,2138.44059,7.52810,48013.64985,81268.00000,2.66000,1.19674,63.46708,47.98937,63.46708,47.98937,35.62914,20.15143,15.47771,2.06236,23151.79223,46.66893,65014.40000,2.66000,1.19674,78.67952,59.98671,78.67952,59.98671,42.10748,23.41467,18.69281,1.97807,22588.00511,47.11061,121902.00000,4.00000,2.00000,46.91685,31.99291,46.91685,31.99291,31.30577,16.38183,14.92394,2.73139,31192.45425,25.75924,56600.00000,3.00000,1.00000,89.14270,68.90459,89.14270,68.90459,46.20086,25.96274,20.23811,1.91474,21839.93180,52.30984,11139.00000,1.00000,1.00000,407.37460,350.12120,407.37460,350.12120,124.71035,67.45694,57.25340,1.09862,12855.63681,55.52745,61103.75940,1.00000,1.00000,78.07018,63.82586,78.07018,63.82586,35.71379,21.46948,14.24432,1.43549,15450.52776,52.15829,30551.87970,1.00000,1.00000,152.28661,127.65172,152.28661,127.65172,58.85616,34.22127,24.63489,1.29831,14393.82179,53.53030,65014.40000,2.00000,0.00000,73.27570,59.98671,73.27570,59.98671,35.31035,22.02136,13.28899,1.45304,14297.99732,77.06750
'090010101012',239,1.22332,0.71944,0.04515,0.16556,31528.37553,2161.56431,7.82261,74843.10954,81268.00000,2.66000,1.19674,55.45466,40.26659,55.79446,40.60639,48.41148,33.22341,15.18807,2.03035,22612.12988,45.21951,65014.40000,2.66000,1.19674,68.66858,50.33323,69.09333,50.75799,59.86460,41.52926,18.33534,1.94656,22051.33352,45.78734,121902.00000,4.00000,2.00000,43.73996,29.01801,44.07137,29.34941,36.87089,22.14894,14.72195,2.70473,30585.97649,24.57856,56600.00000,3.00000,1.00000,77.62353,57.81599,78.11143,58.30389,67.51073,47.70318,19.80755,1.88014,21275.27757,50.94296,11139.00000,1.00000,1.00000,349.61929,293.77726,352.09842,296.25640,298.23362,242.39160,55.84202,1.07416,12480.87758,55.07949,61103.75940,1.00000,1.00000,67.48457,53.55456,67.93651,54.00650,58.11715,44.18713,13.93001,1.40726,15052.95523,50.74812,30551.87970,1.00000,1.00000,131.17662,107.10912,132.08050,108.01299,112.44177,88.37427,24.06750,1.27162,14005.53942,52.51197,65014.40000,2.00000,0.00000,63.19178,50.33323,63.61653,50.75799,54.38781,41.52926,12.85855,1.40886,13773.90730,75.00236
'090010101013',452,1.58796,0.11821,0.01465,0.05858,22155.91679,2148.39172,16.28000,61961.99262,81268.00000,2.66000,1.19674,61.98086,45.60460,64.36563,47.98937,49.59967,33.22341,16.37626,2.11492,25931.18149,38.65126,65014.40000,2.66000,1.19674,76.80752,57.00575,79.78848,59.98671,61.33103,41.52926,19.80177,2.02810,25362.98105,39.32702,121902.00000,4.00000,2.00000,45.99033,30.40307,47.58017,31.99291,37.73620,22.14894,15.58726,2.76059,34220.93265,34.72481,56600.00000,3.00000,1.00000,87.03543,65.48047,90.45955,68.90459,69.25814,47.70318,21.55496,1.96320,24890.60965,40.40772,11139.00000,1.00000,1.00000,394.51135,332.72239,411.91016,350.12120,304.18056,242.39160,61.78896,1.15775,14589.06573,45.33050,61103.75940,1.00000,1.00000,75.88182,60.65412,79.05356,63.82586,59.41484,44.18713,15.22770,1.51391,17217.62113,40.17585,30551.87970,1.00000,1.00000,147.73414,121.30824,154.07763,127.65172,114.80017,88.37427,26.42590,1.36887,16147.20614,42.27495,65014.40000,2.00000,0.00000,71.47659,57.00575,74.45755,59.98671,56.00010,41.52926,14.47084,1.53349,17302.06103,43.34751
'090010101014',434,1.31801,0.12823,0.01477,0.04787,25005.81993,2145.17789,9.71575,60193.27354,81268.00000,2.66000,1.19674,52.33014,36.35407,61.21586,45.23979,19.29841,3.32234,15.97607,2.10164,24856.38819,25.81523,65014.40000,2.66000,1.19674,60.93495,41.63197,71.01703,51.71405,23.45590,4.15293,19.30298,2.01516,24288.23056,26.41271,121902.00000,4.00000,2.00000,41.01482,25.76751,47.24022,31.99291,17.87256,2.62525,15.24731,2.74841,32992.39265,11.42598,56600.00000,3.00000,1.00000,67.18600,46.18896,78.32785,57.33082,25.76736,4.77032,20.99704,1.95184,23759.03383,30.32855,11139.00000,1.00000,1.00000,255.57490,196.14730,301.81920,242.39160,83.66676,24.23916,59.42760,1.14164,13818.97732,33.58670,61103.75940,1.00000,1.00000,63.14488,48.36815,74.96754,60.19080,19.19545,4.41871,14.77673,1.49519,16447.20621,29.02923,30551.87970,1.00000,1.00000,98.37093,72.81696,115.58180,90.02783,34.39140,8.83743,25.55397,1.35121,15376.92418,30.88515,65014.40000,2.00000,0.00000,60.39650,46.29309,71.73245,57.62904,18.25634,4.15293,14.10341,1.52102,16291.88092,46.73123
'090010101021',438,1.78142,0.24327,0.01888,0.06609,19687.77926,2126.98044,8.58958,81336.27451,81268.00000,2.66000,1.19674,62.30823,46.48496,63.81264,47.98937,32.43497,16.61170,15.82327,2.07859,24526.06678,32.48499,65014.40000,2.66000,1.19674,77.22147,58.10620,79.10198,59.98671,39.87990,20.76463,19.11527,1.99247,23959.19377,33.21198,121902.00000,4.00000,2.00000,46.05830,30.98997,47.06124,31.99291,26.14280,11.07447,15.06833,2.72138,32403.18485,16.22975,56600.00000,3.00000,1.00000,87.51477,66.74452,89.67484,68.90459,44.62184,23.85159,20.77025,1.92813,23393.36520,37.32142,11139.00000,1.00000,1.00000,398.58817,339.14532,409.56404,350.12120,180.63865,121.19580,59.44285,1.12798,13844.49931,42.61742,61103.75940,1.00000,1.00000,76.56484,61.82500,78.56570,63.82586,36.83341,22.09357,14.73984,1.47881,16462.92924,37.07198,30551.87970,1.00000,1.00000,149.16961,123.64999,153.17134,127.65172,69.70675,44.18713,25.51962,1.33594,15396.63759,39.33022,65014.40000,2.00000,0.00000,72.10760,58.10620,73.98811,59.98671,34.76603,20.76463,14.00140,1.49962,16170.31102,55.46201
'090010101022',542,0.59726,0.26778,0.02075,0.08498,20634.93462,2142.06878,19.24810,71839.36782,81268.00000,2.66000,1.19674,64.43971,47.98937,64.43971,47.98937,36.43020,19.97986,16.45034,2.12902,25827.98905,45.42042,65014.40000,2.66000,1.19674,79.88459,59.98671,79.88459,59.98671,43.16311,23.26522,19.89788,2.04312,25261.65284,45.75322,121902.00000,4.00000,2.00000,47.74800,31.99291,47.74800,31.99291,31.93593,16.18084,15.75509,2.79054,34366.30886,45.92518,56600.00000,3.00000,1.00000,90.51464,68.90459,90.51464,68.90459,47.52613,25.91608,21.61004,1.98178,24612.28578,45.68818,11139.00000,1.00000,1.00000,412.25217,350.12120,412.25217,350.12120,129.54655,67.41558,62.13098,1.15410,14767.31747,48.11256,61103.75940,1.00000,1.00000,79.08256,63.82586,79.08256,63.82586,36.36446,21.10776,15.25670,1.50328,17381.65275,45.57399,30551.87970,1.00000,1.00000,154.16784,127.65172,154.16784,127.65172,60.38598,33.86986,26.51612,1.36109,16317.02855,46.60776,65014.40000,2.00000,0.00000,74.25562,59.98671,74.25562,59.98671,36.26246,21.99355,14.26890,1.53485,16622.30051,44.10024
'090010101023',450,1.61107,0.10647,0.01609,0.05134,17634.95466,2177.75952,14.56830,63486.84211,81268.00000,2.66000,1.19674,62.61607,46.11901,64.48643,47.98937,49.72047,33.22341,16.49706,2.12977,26255.34417,33.26686,65014.40000,2.66000,1.19674,77.59841,57.64877,79.93636,59.98671,61.47891,41.52926,19.94964,2.04237,25687.61510,33.94893,121902.00000,4.00000,2.00000,46.39178,30.74601,47.63868,31.99291,37.79471,22.14894,15.64577,2.76858,34525.55176,28.43056,56600.00000,3.00000,1.00000,87.95034,66.21908,90.63586,68.90459,69.43444,47.70318,21.73126,1.97835,25225.26518,35.25359,11139.00000,1.00000,1.00000,399.06535,336.47545,412.71110,350.12120,304.98150,242.39160,62.58991,1.17197,14906.91868,40.22240,61103.75940,1.00000,1.00000,76.74807,61.33829,79.23564,63.82586,59.59691,44.18713,15.40978,1.53258,17531.87852,35.01956,30551.87970,1.00000,1.00000,149.42645,122.67658,154.40159,127.65172,115.12414,88.37427,26.74987,1.38573,16462.92773,37.13829,65014.40000,2.00000,0.00000,72.34912,57.64877,74.68706,59.98671,56.22961,41.52926,14.70035,1.55852,17663.36983,39.30787
'090010102011',294,0.66537,0.27370,0.02979,0.09403,25312.19657,2224.25436,16.18920,73529.70588,81268.00000,2.66000,1.19674,63.64548,47.48712,64.14772,47.98937,49.38176,33.22341,16.15835,2.10823,24991.79178,48.02124,65014.40000,2.66000,1.19674,78.89518,59.35891,79.52298,59.98671,61.06553,41.52926,19.53627,2.02276,24427.76630,48.38372,121902.00000,4.00000,2.00000,47.19947,31.65808,47.53430,31.99291,37.69033,22.14894,15.54139,2.77475,33500.43232,43.76381,56600.00000,3.00000,1.00000,89.38042,68.18346,90.10156,68.90459,68.90015,47.70318,21.19697,1.96013,23764.51686,49.49032,11139.00000,1.00000,1.00000,406.80627,346.45692,410.47054,350.12120,302.74094,242.39160,60.34935,1.13558,14016.13876,52.13090,61103.75940,1.00000,1.00000,78.05125,63.15788,78.71923,63.82586,59.08051,44.18713,14.89337,1.48149,16612.84794,49.36595,30551.87970,1.00000,1.00000,152.15120,126.31575,153.48716,127.65172,114.20971,88.37427,25.83544,1.34063,15555.40154,50.49191,65014.40000,2.00000,0.00000,73.26180,59.35891,73.88961,59.98671,55.43216,41.52926,13.90289,1.50552,15788.25015,53.74543
'090010102012',265,0.43969,0.29068,0.02413,0.09653,28070.67373,2217.76146,10.44180,44664.95468,81268.00000,2.66000,1.19674,61.83886,45.87385,63.95438,47.98937,39.57998,23.61497,15.96501,2.10366,23517.92948,85.58282,65014.40000,2.66000,1.19674,76.46013,57.16508,79.28177,59.98671,46.77163,27.47657,19.29506,2.01847,22952.50756,85.84181,121902.00000,4.00000,2.00000,46.11225,30.83146,47.27370,31.99291,33.89179,18.61100,15.28079,2.75151,31756.96854,79.02285,56600.00000,3.00000,1.00000,86.58007,65.59929,89.88537,68.90459,51.80253,30.82175,20.98077,1.96267,22247.89121,91.12186,11139.00000,1.00000,1.00000,385.82134,326.64631,409.29622,350.12120,138.82470,79.64967,59.17503,1.13142,12900.58791,79.14035,61103.75940,1.00000,1.00000,75.14431,60.46366,78.50651,63.82586,39.76811,25.08746,14.68065,1.47519,15507.94902,77.16478,30551.87970,1.00000,1.00000,145.47736,120.05793,153.07115,127.65172,65.57750,40.15808,25.41943,1.33520,14446.16488,77.96928,65014.40000,2.00000,0.00000,71.10814,57.13535,73.95950,59.98671,41.10686,27.13407,13.97279,1.53204,14532.42560,101.22444
'090010102013',389,0.80226,0.48938,0.02894,0.14090,26936.67258,2254.79207,18.53370,66137.83069,81268.00000,2.66000,1.19674,62.64621,46.77089,63.86468,47.98937,24.36574,8.49043,15.87531,2.07491,24464.30467,48.34900,65014.40000,2.66000,1.19674,77.65135,58.46362,79.17445,59.98671,29.80077,10.61303,19.18774,1.99031,23900.07725,48.76762,121902.00000,4.00000,2.00000,46.53182,31.18059,47.34414,31.99291,21.01151,5.66028,15.35122,2.74791,32888.61362,46.35774,56600.00000,3.00000,1.00000,87.92508,67.15507,89.67460,68.90459,32.96082,12.19081,20.77001,1.92608,23175.07966,49.32905,11139.00000,1.00000,1.00000,400.28385,341.23143,409.17362,350.12120,120.99695,61.94452,59.05243,1.10758,13740.34571,52.37859,61103.75940,1.00000,1.00000,76.79559,62.20529,78.41616,63.82586,25.88257,11.29227,14.59030,1.44684,16338.59527,49.18541,30551.87970,1.00000,1.00000,149.71168,124.41057,152.95282,127.65172,47.88564,22.58454,25.30110,1.30868,15280.52159,50.48576,65014.40000,2.00000,0.00000,71.91779,58.46362,73.44089,59.98671,24.06721,10.61303,13.45418,1.46053,15243.52761,50.60105
