Inst. ID,Dist. ID,School ID,Group,Year,Total Mathematics Number Tested,Total Mathematics Avg Scale Score,Total Mathematics % Goal Range,Total Mathematics % Proficient,Total Reading ,Total Reading Average Scale Score,Total Reading % Goal Range,Total Reading % Proficient,Total Writing ,Total Writing Avg Total Writing Scale Score,Total Writing % Goal Range,Total Writing % Proficient
,0,,State,2013,37508,256,61.6,82.7,37068,242.5,56.9,72.4,38307,250.1,60,80.4
,1,,Andover,2013,44,270.8,77.3,90.9,44,258.7,68.2,79.5,47,268.2,76.6,87.2
,2,,Ansonia,2013,177,235.1,42.4,73.4,175,225.1,40.6,61.1,181,242.1,56.4,80.1
,3,,Ashford,2013,34,248.1,58.8,82.4,34,239.6,58.8,67.6,36,236.9,52.8,80.6
,4,,Avon,2013,250,275.6,82.8,95.6,249,275.4,87.1,94.4,250,280,87.2,97.2
,5,,Barkhamsted,2013,42,269.4,81,90.5,40,250.8,60,82.5,43,256.3,72.1,88.4
,7,,Berlin,2013,204,269.7,73.5,90.7,204,248.4,63.2,77,203,258.1,66.5,91.6
,8,,Bethany,2013,60,258.9,65,88.3,60,246.7,61.7,78.3,65,247.5,56.9,76.9
,9,,Bethel,2013,171,278.2,80.7,96.5,171,263.6,78.4,93.6,171,273.1,84.8,95.9
,11,,Bloomfield,2013,107,261.7,71,84.1,103,257.3,65,85.4,109,260.6,70.6,85.3
,12,,Bolton,2013,61,259,60.7,86.9,60,256,68.3,85,62,263.9,66.1,85.5
,13,,Bozrah,2013,23,245.2,43.5,82.6,23,248.5,65.2,78.3,23,239.3,52.2,73.9
,14,,Branford,2013,221,261.3,64.7,81.4,212,244.3,60.8,75.5,224,249,56.3,75.9
,15,,Bridgeport,2013,1577,213.7,25.1,52.6,1567,208.4,21.4,40.4,1609,222.1,32.4,58.4
,17,,Bristol,2013,576,245.7,55,77.3,575,228.8,46.1,61.9,572,239.6,53,72.9
,18,,Brookfield,2013,207,271.2,79.2,92.3,208,260.7,74,85.1,207,254.2,66.2,84.1
,19,,Brooklyn,2013,77,252.5,59.7,85.7,77,242.9,61,79.2,77,248.7,64.9,87
,22,,Canterbury,2013,37,265.5,73,97.3,37,252.9,75.7,89.2,37,266.7,75.7,94.6
,23,,Canton,2013,130,290.4,88.5,97.7,130,265.1,81.5,92.3,133,278.9,83.5,96.2
,24,,Chaplin,2013,20,230.1,45,75,-,-,-,-,23,209.4,21.7,39.1
,25,,Cheshire,2013,364,264.3,71.4,90.4,364,253.6,67,81,367,267.8,71.4,87.5
,26,,Chester,2013,38,288.7,86.8,97.4,35,274.8,94.3,100,39,270.8,69.2,87.2
,27,,Clinton,2013,135,266.5,75.6,91.9,135,251,65.2,85.2,136,269.1,80.9,95.6
,28,,Colchester,2013,215,261.6,65.6,89.8,215,247.8,62.8,74.9,217,250.9,63.6,82
,30,,Columbia,2013,42,247.4,50,81,42,236.1,42.9,71.4,44,265.3,70.5,90.9
,32,,Coventry,2013,119,268.2,75.6,94.1,116,251,70.7,83.6,122,251.3,57.4,86.9
,33,,Cromwell,2013,144,265.6,73.6,88.2,143,252.1,67.1,82.5,143,265.4,72.7,84.6
,34,,Danbury,2013,763,244.6,48.5,77.3,754,229.1,41.9,60.1,791,239.8,49.2,75.1
,35,,Darien,2013,425,277.7,80.5,93.9,424,264.1,80,90.1,431,270,81.7,94
,36,,Deep River,2013,51,257.8,64.7,86.3,49,254.4,63.3,81.6,51,254.1,60.8,76.5
,37,,Derby,2013,114,242.2,56.1,80.7,112,230.5,46.4,67,114,237.7,50,75.4
,40,,East Granby,2013,59,270,72.9,88.1,59,244.8,55.9,76.3,60,268.3,71.7,86.7
,41,,East Haddam,2013,83,282.4,81.9,97.6,83,263.9,77.1,89.2,85,281,87.1,98.8
,42,,East Hampton,2013,144,253.5,63.2,88.2,144,248.8,62.5,79.9,145,252.3,59.3,84.1
,43,,East Hartford,2013,492,224,37,63.2,487,211.4,25.3,46,492,224.8,37.6,63.6
,44,,East Haven,2013,207,244.5,48.3,81.6,205,227.5,39.5,62.4,214,232,47.7,71
,45,,East Lyme,2013,180,275.5,78.9,95.6,178,256.9,71.9,84.8,188,269.8,77.1,88.8
,46,,Easton,2013,91,283,86.8,95.6,89,269,82,91,97,288.5,82.5,91.8
,47,,East Windsor,2013,87,235.2,47.1,75.9,85,237.9,54.1,69.4,87,230.8,43.7,72.4
,48,,Ellington,2013,211,272.3,81.5,96.7,210,257.8,78.1,89.5,218,267.7,77.5,93.1
,49,,Enfield,2013,362,271.3,72.7,92.8,352,246.8,64.8,78.1,370,243.9,58.6,84.6
,50,,Essex,2013,84,268.1,69,91.7,84,263.9,78.6,90.5,84,263.8,73.8,90.5
,51,,Fairfield,2013,715,283.7,85,95.5,707,265.1,78.6,89.8,721,268.6,79.9,92.4
,52,,Farmington,2013,311,275,75.6,93.2,312,261.8,76,88.8,316,275.3,80.4,92.7
,54,,Glastonbury,2013,450,279.2,82.9,95.6,446,262.1,76.7,88.3,449,267.8,80.6,92.9
,56,,Granby,2013,146,282.8,85.6,97.3,146,263.9,81.5,92.5,148,279.5,79.1,93.9
,57,,Greenwich,2013,654,276.1,78.3,91.6,639,262.1,75.1,87.8,665,270.4,76.4,90.4
,58,,Griswold,2013,112,245,54.5,82.1,112,238,50.9,74.1,121,252,58.7,79.3
,59,,Groton,2013,346,255.2,63.6,84.1,345,240.5,54.8,71.9,351,245.5,57.3,80.3
,60,,Guilford,2013,252,282,83.3,94.8,251,263.6,78.9,90.4,252,266,77,92.1
,62,,Hamden,2013,388,249.3,54.1,77.1,384,237,52.9,67.2,406,241,51.5,73.4
,64,,Hartford,2013,1293,221.7,30.2,59.5,1277,220.1,31.6,51.6,1384,229.9,41.6,68.1
,65,,Hartland,2013,29,254.8,58.6,79.3,27,243,51.9,63,31,254.8,58.1,74.2
,67,,Hebron,2013,121,271,78.5,97.5,120,258.3,77.5,87.5,119,267.6,79,93.3
,68,,Kent,2013,37,272.1,81.1,91.9,37,258.8,70.3,89.2,37,258.8,67.6,91.9
,69,,Killingly,2013,174,240.7,48.3,77,167,238.8,53.9,67.7,175,236.1,48,72
,71,,Lebanon,2013,79,266.1,75.9,96.2,78,247.5,62.8,80.8,79,260.7,72.2,89.9
,72,,Ledyard,2013,165,258.5,69.1,85.5,163,249,66.3,81,167,258.4,68.9,87.4
,73,,Lisbon,2013,41,247.6,48.8,85.4,41,256.4,78,87.8,41,262.4,75.6,92.7
,74,,Litchfield,2013,72,276,79.2,91.7,71,256.9,74.6,83.1,71,258.9,73.2,90.1
,76,,Madison,2013,201,282.1,84.6,97,199,264.9,83.4,89.4,199,261.1,72.4,92
,77,,Manchester,2013,454,247.4,53.7,77.1,444,233.3,46.4,64.6,464,245.7,53.7,76.9
,78,,Mansfield,2013,114,280.6,83.3,94.7,115,264.8,76.5,88.7,115,269.1,77.4,91.3
,79,,Marlborough,2013,76,289.7,92.1,97.4,76,262.9,77.6,94.7,76,278.3,89.5,94.7
