blkgrp,households,residential_density,gross_hh_density,block_denstiy,intersection_density,employment_access_index,job_diversity_index,average_median_commute_distance,per_capita_income,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_ht_own,hh_type2_h_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_ht_own,hh_type3_h_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_ht_own,hh_type4_h_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_ht_own,hh_type5_h_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_ht_own,hh_type6_h_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_ht_own,hh_type7_h_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_ht_own,hh_type8_h_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips
'090033301001',726,0.92503,0.03429,0.00444,0.01290,4551.91926,2262.31695,18.09730,31031.04693,66155.00000,2.46000,1.16270,51.68193,30.28831,52.51680,31.12318,40.86070,19.46708,21.39362,2.17805,29666.87220,11.04105,52924.00000,2.46000,1.16270,59.89236,34.66252,60.81142,35.58158,47.97991,22.75007,25.22984,2.09051,29116.42364,11.39384,99232.50000,4.00000,2.00000,40.83158,22.27598,41.29677,22.74118,34.80189,16.24629,18.55560,2.80466,39104.89329,17.34878,38150.00000,3.00000,1.00000,76.20013,43.17753,77.22589,44.20330,62.90464,29.88204,33.02259,1.98453,29000.29882,10.56115,11139.00000,1.00000,1.00000,192.88891,119.84547,194.23924,121.19580,175.38656,102.34312,73.04344,1.32618,18919.70404,12.50749,53784.55285,1.00000,1.00000,57.72985,38.48863,59.06403,39.82280,40.43690,21.19568,19.24122,1.68884,21382.28893,10.01813,26892.27642,1.00000,1.00000,92.89991,58.35440,94.13148,59.58597,76.93686,42.39135,34.54551,1.52919,20298.20059,11.11401,52924.00000,2.00000,0.00000,58.61974,38.76328,59.94852,40.09205,41.39679,21.54032,19.85647,1.72127,21645.64070,1.74465
'090034001001',927,1.30310,0.73791,0.05413,0.08836,20975.96115,2003.80197,8.07746,34039.11290,66155.00000,2.46000,1.16270,43.17623,26.00554,45.12537,27.95467,36.94958,19.77888,17.17070,1.89012,21124.44775,35.49219,52924.00000,2.46000,1.16270,49.97194,29.87359,52.12332,32.02496,43.09922,23.00087,20.09836,1.80953,20587.43715,35.94157,99232.50000,4.00000,2.00000,35.17691,19.60541,36.36235,20.79085,31.38993,15.81842,15.57151,2.55697,29106.63244,24.40309,38150.00000,3.00000,1.00000,63.20645,37.40207,65.56045,39.75608,55.68642,29.88204,25.80438,1.70956,19919.40053,40.20542,11139.00000,1.00000,1.00000,170.34396,116.70125,174.83850,121.19580,155.98582,102.34312,53.64270,1.06440,12412.69340,37.92615,53784.55285,1.00000,1.00000,46.93268,32.20114,50.37773,35.64619,35.92722,21.19568,14.73155,1.37796,14780.45809,34.75523,26892.27642,1.00000,1.00000,77.02249,50.98748,79.71334,53.67833,68.42636,42.39135,26.03501,1.23992,13738.11186,36.15115,52924.00000,2.00000,0.00000,46.59523,32.07128,49.57388,35.04992,37.07974,22.55579,14.52396,1.37594,13572.59448,53.09911
'090034001002',954,1.58283,1.11840,0.04338,0.12075,18432.61893,1899.99246,8.73298,33607.81250,66155.00000,2.46000,1.16270,47.69879,30.37334,50.36482,33.03937,31.38429,14.05884,17.32545,1.90076,21516.32511,18.08694,52924.00000,2.46000,1.16270,55.12327,34.83377,58.14579,37.85629,36.62725,16.33776,20.28949,1.82045,20977.34059,18.59807,99232.50000,4.00000,2.00000,38.49335,22.79297,40.35236,24.65198,27.11735,11.41697,15.70038,2.57790,29441.78923,6.08774,38150.00000,3.00000,1.00000,69.30304,43.30182,72.98835,46.98713,46.75116,20.74994,26.00122,1.71721,20251.33043,21.58881,11139.00000,1.00000,1.00000,167.00042,112.11670,176.07952,121.19580,111.44176,56.55804,54.88372,1.07801,12933.38071,24.14283,53784.55285,1.00000,1.00000,53.18574,38.20054,57.06119,42.07600,29.47025,14.48506,14.98520,1.38957,15315.07368,20.53621,26892.27642,1.00000,1.00000,84.32126,57.77968,89.93502,63.39344,49.96838,23.42680,26.54158,1.25242,14266.59589,22.12393,52924.00000,2.00000,0.00000,52.23116,37.65249,55.82605,41.24737,30.23262,15.65394,14.57868,1.36892,13926.63453,34.13230
'090034001003',1018,0.99740,0.37520,0.03391,0.06524,21383.62376,1942.60542,8.86468,30304.88722,66155.00000,2.46000,1.16270,48.99228,31.26698,52.80369,35.07838,33.96870,16.24340,17.72530,1.92331,22315.22411,35.23507,52924.00000,2.46000,1.16270,56.62790,35.85454,60.92990,40.15654,39.67050,18.89714,20.77336,1.84189,21774.28661,35.60775,99232.50000,4.00000,2.00000,39.40647,23.36426,42.04319,26.00098,29.01319,12.97099,16.04221,2.59785,30648.49364,23.83150,38150.00000,3.00000,1.00000,71.39804,44.64147,76.58258,49.82600,50.96191,24.20533,26.75658,1.74083,21186.65618,38.78626,11139.00000,1.00000,1.00000,188.68879,132.86827,203.94872,148.12820,128.53801,72.71748,55.82053,1.08798,13209.77406,39.22238,53784.55285,1.00000,1.00000,54.33530,39.09259,60.02483,44.78213,31.90860,16.66589,15.24270,1.40742,15605.24757,36.59275,26892.27642,1.00000,1.00000,86.75806,59.76274,94.27821,67.28289,57.11549,30.12017,26.99532,1.26680,14550.70326,37.75038,52924.00000,2.00000,0.00000,54.11272,39.03387,59.29277,44.21393,33.69427,18.61542,15.07885,1.40235,14558.01770,51.48743
'090034002001',772,1.03466,0.47483,0.01599,0.04859,17498.67098,1872.04343,8.39166,33094.27481,66155.00000,2.46000,1.16270,55.43222,37.39467,57.38237,39.34482,33.48525,15.44770,18.03755,1.94787,22920.31231,26.76917,52924.00000,2.46000,1.16270,63.96364,42.81048,66.17177,45.01861,39.11342,17.96027,21.15315,1.86636,22374.70599,27.15180,99232.50000,4.00000,2.00000,44.08474,27.88710,45.44146,29.24383,28.81624,12.61860,16.19764,2.61585,31119.45443,14.83997,38150.00000,3.00000,1.00000,80.38559,53.11356,83.07304,55.80101,50.14110,22.86907,27.27203,1.76605,21776.14282,30.11821,11139.00000,1.00000,1.00000,237.25063,179.51561,246.26182,188.52680,135.83898,78.10396,57.73502,1.11408,13872.41338,31.57165,53784.55285,1.00000,1.00000,63.07554,47.40665,65.85065,50.18176,31.84454,16.17565,15.66889,1.43416,16300.83076,28.87176,26892.27642,1.00000,1.00000,102.17231,74.35683,105.90481,78.08934,60.16677,32.35130,27.81548,1.29325,15231.78377,30.06031,52924.00000,2.00000,0.00000,62.37801,46.80688,65.01352,49.44239,32.71809,17.14696,15.57113,1.43541,15300.51845,43.15118
'090034002002',814,0.76588,0.24161,0.01276,0.03384,13991.99694,2034.42724,8.30446,34042.26804,66155.00000,2.46000,1.16270,56.65098,38.05224,56.65098,38.05224,32.45287,13.85413,18.59874,1.99005,23967.84661,27.06274,52924.00000,2.46000,1.16270,65.35116,43.51977,65.35116,43.51977,37.95966,16.12827,21.83139,1.90723,23421.14884,27.36905,99232.50000,4.00000,2.00000,44.76175,28.15027,44.76175,28.15027,27.79750,11.18602,16.61149,2.65120,32475.13050,16.50451,38150.00000,3.00000,1.00000,82.18108,53.94697,82.18108,53.94697,48.90901,20.67490,28.23411,1.80748,22889.09331,30.18762,11139.00000,1.00000,1.00000,185.26091,125.21551,185.26091,125.21551,101.32382,41.27842,60.04540,1.14757,14603.02258,30.61786,53784.55285,1.00000,1.00000,64.83960,48.60978,64.83960,48.60978,30.35384,14.12402,16.22982,1.47690,17039.14134,28.45648,26892.27642,1.00000,1.00000,101.67440,72.81967,101.67440,72.81967,51.50113,22.64639,28.85474,1.33192,15966.70402,29.40797,52924.00000,2.00000,0.00000,64.40610,48.13928,64.40610,48.13928,31.94677,15.67995,16.26682,1.49066,16151.58445,42.02331
'090034002003',398,0.82529,0.12635,0.00667,0.02000,12784.52915,2157.00205,8.97103,42818.18182,66155.00000,2.46000,1.16270,49.01182,30.01279,49.49110,30.49206,32.14997,13.15093,18.99904,2.00577,24967.03713,28.63621,52924.00000,2.46000,1.16270,56.67280,34.35402,57.18202,34.86325,38.75745,16.43867,22.31878,1.92193,24417.80409,28.96034,99232.50000,4.00000,2.00000,38.97639,22.08946,39.35505,22.46812,25.65422,8.76729,16.88693,2.65850,33659.03109,19.79977,38150.00000,3.00000,1.00000,71.63520,42.68525,72.20028,43.25033,51.75467,22.80472,28.94995,1.82080,23996.00669,31.52086,11139.00000,1.00000,1.00000,207.88955,146.19285,209.82489,148.12820,139.80065,78.10396,61.69669,1.16196,15257.90082,31.88181,53784.55285,1.00000,1.00000,54.96702,38.33726,55.59694,38.96718,32.80541,16.17565,16.62976,1.49844,17711.90887,29.59467,26892.27642,1.00000,1.00000,90.14964,60.55427,90.95128,61.35591,61.94667,32.35130,29.59537,1.35031,16631.59626,30.60152,52924.00000,2.00000,0.00000,55.02258,38.19165,55.64088,38.80996,33.26959,16.43867,16.83092,1.51648,17166.72600,41.28063
'090034003001',397,2.70858,1.17843,0.07124,0.20778,25538.58339,2276.26793,8.56028,37993.54839,66155.00000,2.46000,1.16270,42.57146,26.19306,43.50363,27.12523,37.62951,21.25111,16.37840,1.82085,19797.11152,39.92107,52924.00000,2.46000,1.16270,49.37099,30.23200,50.26199,31.12300,44.64727,25.50828,19.13899,1.74125,19262.87329,40.62707,99232.50000,4.00000,2.00000,34.64802,19.63071,35.21447,20.19716,31.64492,16.62762,15.01730,2.49166,27580.10194,29.27362,38150.00000,3.00000,1.00000,62.63159,38.20645,63.16347,38.73833,59.81177,35.38663,24.42514,1.63477,18547.80908,45.60648,11139.00000,1.00000,1.00000,171.40976,121.19580,171.40976,121.19580,171.40976,121.19580,50.21396,1.01428,11316.25897,43.21785,53784.55285,1.00000,1.00000,46.94990,33.01185,48.44223,34.50418,39.03820,25.10014,13.93805,1.32085,13664.46139,38.23621,26892.27642,1.00000,1.00000,76.42468,51.89080,76.74355,52.20967,74.73416,50.20029,24.53388,1.18589,12630.72693,40.42924,52924.00000,2.00000,0.00000,46.06866,32.59927,47.40618,33.93679,38.97767,25.50828,13.46939,1.28710,12357.17451,57.45101
'090034003002',480,1.74858,1.74084,0.09792,0.22123,22726.02539,2134.24983,8.53272,31769.20000,66155.00000,2.46000,1.16270,47.24826,30.51153,47.78010,31.04337,37.14335,20.40662,16.73673,1.86818,20152.28497,29.07262,52924.00000,2.46000,1.16270,54.68195,35.10761,55.18718,35.61284,45.08261,25.50828,19.57434,1.78886,19621.77133,29.61725,99232.50000,4.00000,2.00000,38.01389,22.68544,38.49184,23.16339,28.93287,13.60441,15.32845,2.55126,28064.94872,18.17853,38150.00000,3.00000,1.00000,68.80626,43.82500,69.25039,44.26912,60.36790,35.38663,24.98127,1.68578,18807.76867,33.87244,11139.00000,1.00000,1.00000,198.86631,146.78158,200.21293,148.12820,173.28053,121.19580,52.08473,1.05031,11823.30468,32.34605,53784.55285,1.00000,1.00000,53.15010,38.82331,53.87237,39.54558,39.42693,25.10014,14.32679,1.35495,14145.22586,28.50303,26892.27642,1.00000,1.00000,86.10425,60.79813,86.66203,61.35591,75.50641,50.20029,25.30613,1.22084,13123.06103,30.19482,52924.00000,2.00000,0.00000,51.75479,38.03169,52.41392,38.69081,39.23138,25.50828,13.72311,1.32677,12385.54913,46.12542
'090034003003',246,1.69538,1.50352,0.08557,0.30559,21483.21812,2026.38223,7.16899,26971.48594,66155.00000,2.46000,1.16270,50.22660,33.22087,50.22660,33.22087,34.94190,17.93618,17.00572,1.89216,20600.63353,26.33624,52924.00000,2.46000,1.16270,58.01247,38.11245,58.01247,38.11245,40.74417,20.84415,19.90002,1.81254,20068.46800,26.87035,99232.50000,4.00000,2.00000,40.34562,24.77031,40.34562,24.77031,29.92812,14.35281,15.57531,2.58478,28681.70861,12.58682,38150.00000,3.00000,1.00000,72.76939,47.38294,72.76939,47.38294,51.92918,26.54273,25.38645,1.70722,19223.46322,31.46570,11139.00000,1.00000,1.00000,174.58336,121.19580,174.58336,121.19580,106.90650,53.51893,53.38756,1.07058,12221.06850,30.48151,53784.55285,1.00000,1.00000,56.95810,42.33181,56.95810,42.33181,33.16431,18.53802,14.62629,1.37733,14554.64570,26.71278,26892.27642,1.00000,1.00000,89.90464,64.03004,89.90464,64.03004,55.43851,29.56390,25.87460,1.24229,13527.34961,28.37186,52924.00000,2.00000,0.00000,55.32628,41.44048,55.32628,41.44048,34.25733,20.37152,13.88581,1.33792,12609.39498,47.00511
