blkgrp,households,residential_density,gross_hh_density,block_denstiy,intersection_density,employment_access_index,job_diversity_index,average_median_commute_distance,per_capita_income,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_ht_own,hh_type2_h_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_ht_own,hh_type3_h_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_ht_own,hh_type4_h_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_ht_own,hh_type5_h_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_ht_own,hh_type6_h_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_ht_own,hh_type7_h_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_ht_own,hh_type8_h_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips
'090091201001',699,1.73168,1.42909,0.04702,0.10222,16155.46532,2483.58395,7.17986,36522.32558,61114.00000,2.51000,1.17618,48.28100,30.05366,48.13165,29.90430,49.29166,31.06432,18.22734,1.86527,20546.08868,26.26373,48891.20000,2.51000,1.17618,55.84477,34.53684,55.60591,34.29798,57.46104,36.15311,21.30793,1.78401,20002.17813,26.80504,91671.00000,4.00000,2.00000,38.83969,22.44052,38.77060,22.37143,39.30718,22.90801,16.39917,2.50323,28085.68090,13.93379,36450.00000,3.00000,1.00000,68.54059,42.26296,68.09658,41.81894,71.54512,45.26749,26.27763,1.68125,19127.79589,31.18126,11139.00000,1.00000,1.00000,177.78445,124.66349,174.31675,121.19580,201.24915,148.12820,53.12096,1.06344,12187.24488,30.22945,48696.41434,1.00000,1.00000,53.77438,37.84109,54.35926,38.42597,49.81669,33.88340,15.93329,1.35495,14414.02078,26.65096,24348.20717,1.00000,1.00000,87.42976,59.32019,86.18150,58.07192,95.87637,67.76680,28.10957,1.21798,13367.69982,28.33243,48891.20000,2.00000,0.00000,52.20295,37.01091,52.58259,37.39055,49.63404,34.44200,15.19204,1.34528,12875.01363,45.21825
'090091201002',604,1.23998,1.20637,0.03795,0.15179,18683.09198,2402.13876,7.34282,25336.53846,61114.00000,2.51000,1.17618,56.55696,38.06436,59.98947,41.49686,45.49133,26.99872,18.49261,1.88904,20823.68694,43.51990,48891.20000,2.51000,1.17618,65.93446,44.30389,69.20872,47.57815,55.37897,33.74840,21.63057,1.80785,20277.99215,43.95432,91671.00000,4.00000,2.00000,45.36873,28.69683,47.68503,31.01312,37.90153,21.22962,16.67191,2.53472,28643.31626,33.08473,36450.00000,3.00000,1.00000,81.67221,54.97018,84.68194,57.97990,71.96953,45.26749,26.70204,1.70683,19378.21560,48.97355,11139.00000,1.00000,1.00000,202.05628,148.12820,202.05628,148.12820,202.05628,148.12820,53.92808,1.07901,12318.27578,43.90466,48696.41434,1.00000,1.00000,64.90624,48.77375,69.52515,53.39267,50.01588,33.88340,16.13248,1.37009,14556.84685,41.03283,24348.20717,1.00000,1.00000,106.06162,77.56802,109.10191,80.60831,96.26039,67.76680,28.49360,1.23331,13504.98356,42.38225,48891.20000,2.00000,0.00000,62.97756,47.64005,67.28668,51.94917,49.08591,33.74840,15.33750,1.36386,12820.79304,61.99250
'090091201003',706,2.48985,2.03679,0.04904,0.16444,20241.24955,2267.71353,8.02939,23442.62948,61114.00000,2.51000,1.17618,47.14695,29.54452,52.15122,34.54880,34.74718,17.14475,17.60243,1.80870,19600.33650,47.63836,48891.20000,2.51000,1.17618,54.53728,33.98341,60.20703,39.65316,40.48859,19.93472,20.55387,1.72834,19056.79922,48.31161,91671.00000,4.00000,2.00000,38.36677,22.48427,41.79416,25.91166,29.87426,13.99176,15.88250,2.43884,26814.42646,39.32267,36450.00000,3.00000,1.00000,66.83441,41.54104,73.67422,48.38086,49.88650,24.59313,25.29337,1.62520,18181.87004,53.96207,11139.00000,1.00000,1.00000,159.49482,108.80537,171.88525,121.19580,128.79341,78.10396,50.68945,1.02012,11460.99538,47.49252,48696.41434,1.00000,1.00000,52.03307,36.72969,59.62097,44.31759,33.23150,17.92812,15.30338,1.30569,13685.30364,43.04179,24348.20717,1.00000,1.00000,85.02498,58.09784,94.05152,67.12438,62.65872,35.73158,26.92714,1.17151,12640.14218,45.13310,48891.20000,2.00000,0.00000,50.64113,36.04175,57.62933,43.02996,33.32553,18.72616,14.59937,1.29305,12267.14604,64.24823
'090091201004',491,2.51182,2.46415,0.05019,0.18067,21885.78663,2381.04777,8.16138,19488.44444,61114.00000,2.51000,1.17618,49.93271,32.56195,54.21577,36.84501,38.86554,21.49478,17.37076,1.79364,19124.24849,59.46074,48891.20000,2.51000,1.17618,57.74017,37.46750,62.56485,42.29218,45.27349,25.00082,20.27267,1.71369,18580.91868,60.13737,91671.00000,4.00000,2.00000,39.75053,24.04698,43.35758,27.65403,30.43013,14.72658,15.70355,2.42037,26282.70651,52.70053,36450.00000,3.00000,1.00000,70.73737,45.81173,76.52307,51.59742,55.78748,30.86183,24.92565,1.61204,17682.72929,66.40567,11139.00000,1.00000,1.00000,154.06604,104.38132,170.88052,121.19580,110.61840,60.93368,49.68472,1.00743,11072.08433,57.02359,48696.41434,1.00000,1.00000,55.37982,40.33232,62.30371,47.25621,37.48890,22.44140,15.04750,1.29036,13295.02102,52.55051,24348.20717,1.00000,1.00000,88.07406,61.62981,98.03824,71.59399,62.32720,35.88295,26.44425,1.15742,12250.50404,54.65233,48891.20000,2.00000,0.00000,53.94630,39.59075,60.19240,45.83685,37.80674,23.45119,14.35555,1.28282,11806.85091,75.53944
'090091202001',418,3.99592,1.56422,0.08607,0.26569,21225.26625,2415.14965,8.55614,23266.78201,61114.00000,2.51000,1.17618,44.18072,27.10438,50.92961,33.85327,35.16962,18.09328,17.07634,1.74293,19106.48636,70.63049,48891.20000,2.51000,1.17618,51.18674,31.26606,58.83320,38.91253,40.97722,21.05654,19.92067,1.66233,18568.76997,71.49700,91671.00000,4.00000,2.00000,36.30060,20.82784,40.77474,25.30199,30.32674,14.85398,15.47276,2.35998,26273.24775,66.32777,36450.00000,3.00000,1.00000,62.79565,38.29958,72.11240,47.61632,50.35597,25.85990,24.49607,1.55559,17780.28896,78.50825,11139.00000,1.00000,1.00000,168.73768,120.44839,196.41748,148.12820,131.77972,83.49044,48.28928,0.96855,10864.70622,66.75568,48696.41434,1.00000,1.00000,47.70147,32.99004,58.10603,43.39461,33.80934,19.09792,14.71143,1.25575,13050.53382,61.02739,24348.20717,1.00000,1.00000,80.89089,55.10363,93.55405,67.76680,63.98309,38.19583,25.78726,1.12080,12023.45371,63.71901,48891.20000,2.00000,0.00000,46.61379,32.51799,56.42293,42.32713,33.51667,19.42087,14.09580,1.23539,11956.94828,84.85247
'090091202002',707,7.92771,4.22503,0.23904,0.47808,21725.07349,2369.89377,8.74378,11192.94118,61114.00000,2.51000,1.17618,42.35345,26.24582,60.28736,44.17973,40.50690,24.39927,16.10763,1.65533,17779.39765,74.89614,48891.20000,2.51000,1.17618,49.58843,30.83058,73.49539,54.73753,47.12687,28.36902,18.75786,1.57605,17257.50845,76.07536,91671.00000,4.00000,2.00000,33.76305,19.06841,44.14780,29.45315,32.69380,17.99915,14.69465,2.26954,24401.75635,71.58207,36450.00000,3.00000,1.00000,60.48041,37.58470,90.10326,67.20755,57.43032,34.53461,22.89571,1.46332,16414.91751,83.91819,11139.00000,1.00000,1.00000,123.84959,78.63835,200.04257,154.83133,116.00445,70.79321,45.21124,0.90614,10139.41417,71.49772,48696.41434,1.00000,1.00000,42.72209,28.87001,69.29764,55.44556,39.98577,26.13369,13.85208,1.18456,12220.61171,63.70215,24348.20717,1.00000,1.00000,70.76947,46.54628,117.44051,93.21732,65.96403,41.74084,24.22319,1.05374,11242.69534,67.36514,48891.20000,2.00000,0.00000,41.62463,28.62438,68.22492,55.22466,38.88576,25.88550,13.00025,1.13537,11046.29991,88.55530
'090091202003',887,4.78599,3.55459,0.10820,0.38071,20504.30840,2479.25707,9.14814,16411.87050,61114.00000,2.51000,1.17618,49.11805,32.14052,57.71936,40.74184,40.34040,23.36287,16.97752,1.74191,18919.54847,52.37459,48891.20000,2.51000,1.17618,56.93072,37.12467,66.67448,46.86843,46.98721,27.18115,19.80605,1.66230,18384.71056,53.32018,91671.00000,4.00000,2.00000,40.52065,25.03784,46.05902,30.57621,34.86874,19.38592,15.48282,2.38064,26047.60688,45.50866,36450.00000,3.00000,1.00000,69.64824,45.42589,81.58554,57.36319,57.46621,33.24386,24.22235,1.55068,17469.73853,58.88628,11139.00000,1.00000,1.00000,161.96634,113.47133,196.62321,148.12820,126.59897,78.10396,48.49501,0.97144,10991.51080,53.94676,48696.41434,1.00000,1.00000,53.22782,38.52477,66.85734,52.15429,39.31887,24.61583,14.70305,1.25210,13158.30945,47.69566,24348.20717,1.00000,1.00000,85.50371,59.67966,105.38217,79.55813,65.21772,39.39367,25.82405,1.12022,12140.17069,50.63293,48891.20000,2.00000,0.00000,51.39043,37.75168,64.24118,50.60243,38.27622,24.63747,13.63875,1.19951,11574.01263,66.43234
'090091202004',462,1.49687,0.45485,0.02954,0.06990,15850.40634,2572.67633,8.89872,25430.51643,61114.00000,2.51000,1.17618,49.30040,30.35505,59.96503,41.01967,38.35513,19.40977,18.94536,1.90014,22044.02837,28.64679,48891.20000,2.51000,1.17618,57.15948,34.97916,69.19636,47.01604,44.80583,22.62552,22.18032,1.81737,21496.47643,29.13969,91671.00000,4.00000,2.00000,40.18818,23.21350,47.45657,30.48190,32.72851,15.75383,16.97468,2.53526,30051.38104,19.57119,36450.00000,3.00000,1.00000,70.47284,42.96430,84.87055,57.36201,55.69625,28.18771,27.50854,1.71339,20783.00962,32.60644,11139.00000,1.00000,1.00000,158.38364,102.93773,203.57411,148.12820,112.00395,56.55804,55.44591,1.09045,13009.35644,31.91900,48696.41434,1.00000,1.00000,53.20064,36.63875,69.35636,52.79447,36.61976,20.05787,16.56189,1.39198,15260.20475,28.66056,24348.20717,1.00000,1.00000,85.53136,56.26655,108.89115,79.62634,61.55683,32.29202,29.26481,1.25029,14202.57261,30.19164,48891.20000,2.00000,0.00000,52.89492,36.86270,67.85074,51.81851,37.54553,21.51331,16.03223,1.38628,14184.82720,42.73056
'090091251001',930,1.52448,1.42648,0.06135,0.19173,15915.25692,2487.23816,7.31680,27460.62992,61114.00000,2.51000,1.17618,56.13302,37.49910,56.60573,37.97181,47.63388,28.99995,18.63393,1.87657,21545.40215,27.81833,48891.20000,2.51000,1.17618,64.86422,43.05150,65.38144,43.56871,55.56488,33.75216,21.81273,1.79528,21003.98854,28.31716,91671.00000,4.00000,2.00000,44.93776,28.08832,45.22589,28.37644,39.75745,22.90801,16.84944,2.53416,29535.44140,14.72302,36450.00000,3.00000,1.00000,79.45546,52.54861,80.05237,53.14553,68.72324,41.81640,26.90684,1.68954,20105.43094,32.12968,11139.00000,1.00000,1.00000,201.43359,146.70918,202.85261,148.12820,175.92021,121.19580,54.72441,1.06773,12959.43579,33.08028,48696.41434,1.00000,1.00000,64.13583,47.84509,65.13254,48.84180,46.21536,29.92463,16.29073,1.35945,15169.70491,29.78267,24348.20717,1.00000,1.00000,101.76061,72.93463,102.73333,73.90735,84.27154,55.44556,28.82598,1.22238,14131.14018,31.33216,48891.20000,2.00000,0.00000,61.95328,46.66225,62.79662,47.50560,46.79024,31.49922,15.29103,1.33084,13351.53233,46.70240
'090091251002',767,2.43389,2.04538,0.05867,0.20800,18789.44577,2468.65895,8.21502,26163.85965,61114.00000,2.51000,1.17618,51.77634,33.91044,52.22002,34.35412,43.02258,25.15668,17.86590,1.82920,20074.15766,35.58621,48891.20000,2.51000,1.17618,59.82527,38.94972,60.31566,39.44011,50.15000,29.27445,20.87555,1.74871,19532.30027,36.25075,91671.00000,4.00000,2.00000,41.68797,25.49224,41.93242,25.73668,36.86512,20.66939,16.19574,2.47676,27600.56856,24.89711,36450.00000,3.00000,1.00000,73.22142,47.56331,73.80062,48.14251,61.79399,36.13588,25.65811,1.64180,18624.11318,40.64129,11139.00000,1.00000,1.00000,172.00747,120.28635,172.91692,121.19580,154.06424,102.34312,51.72112,1.03585,11811.45391,39.56797,48696.41434,1.00000,1.00000,58.77775,43.22700,59.64128,44.09053,41.74070,26.18995,15.55075,1.32235,14024.65672,35.17481,24348.20717,1.00000,1.00000,93.27754,65.86964,94.24303,66.83513,74.22860,46.82070,27.40790,1.18772,12984.71351,37.23907,48891.20000,2.00000,0.00000,56.66439,42.08313,57.41709,42.83583,41.81396,27.23270,14.58126,1.28910,12349.15011,52.45058
