blkgrp,households,residential_density,gross_hh_density,block_denstiy,intersection_density,employment_access_index,job_diversity_index,average_median_commute_distance,per_capita_income,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_ht_own,hh_type2_h_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_ht_own,hh_type3_h_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_ht_own,hh_type4_h_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_ht_own,hh_type5_h_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_ht_own,hh_type6_h_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_ht_own,hh_type7_h_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_ht_own,hh_type8_h_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips
'090116501001',336,0.69500,0.03615,0.00710,0.01097,4656.31235,2319.67980,13.25680,28170.43478,65419.00000,2.43000,1.18106,58.97638,37.51687,64.14560,42.68609,35.19798,13.73848,21.45951,2.17656,29135.52156,11.28677,52335.20000,2.43000,1.18106,68.35195,43.04956,74.09672,48.79434,41.92600,16.62361,25.30239,2.08974,28589.89976,11.57101,98128.50000,4.00000,2.00000,46.32112,27.66682,49.86293,31.20863,30.02881,11.37450,18.65431,2.80625,38573.47458,12.59772,36550.00000,3.00000,1.00000,89.06622,55.08909,95.86755,61.89041,57.78015,23.80301,33.97714,1.97158,28331.74187,11.62425,11139.00000,1.00000,1.00000,200.97351,128.65397,211.96264,139.64310,150.42350,78.10396,72.31954,1.32565,18541.06326,13.13784,53842.79835,1.00000,1.00000,66.61491,47.54699,73.43857,54.37065,35.22608,16.15815,19.06793,1.68777,20995.26438,11.13080,26921.39918,1.00000,1.00000,106.77983,72.56910,115.53044,81.31971,66.52703,32.31630,34.21073,1.52846,19915.60895,12.01374,52335.20000,2.00000,0.00000,68.03723,48.19537,74.90066,55.05880,36.46547,16.62361,19.84186,1.72056,21015.85721,8.93549
'090116501002',183,0.00000,0.03487,0.00629,0.01544,4904.44719,2363.24410,14.97220,38688.47737,65419.00000,2.43000,1.18106,59.84346,37.78911,63.49369,41.43933,31.68459,9.63023,22.05436,2.23626,29895.51910,23.73443,52335.20000,2.43000,1.18106,69.30126,43.27548,73.35059,47.32481,38.06356,12.03779,26.02578,2.14949,29349.49555,23.73443,98128.50000,4.00000,2.00000,46.85134,27.61593,49.50860,30.27320,26.35241,7.11701,19.23540,2.88526,39857.10268,27.22687,36550.00000,3.00000,1.00000,89.97683,54.99259,94.87111,59.88687,52.22090,17.23666,34.98424,2.03707,29003.08944,22.96226,11139.00000,1.00000,1.00000,248.00179,173.38284,263.14575,188.52680,131.17699,56.55804,74.61895,1.36450,19134.95245,22.96226,53842.79835,1.00000,1.00000,67.78038,48.21140,72.51325,52.94427,31.26971,11.70073,19.56898,1.72622,21591.99033,22.96226,26921.39918,1.00000,1.00000,107.76620,72.58110,114.14134,78.95624,58.58656,23.40146,35.18511,1.56709,20511.08695,22.96226,52335.20000,2.00000,0.00000,68.93591,48.71803,73.69076,53.47287,32.25567,12.03779,20.21789,1.77035,21072.29306,18.69765
'090116501003',471,0.91021,0.08071,0.01062,0.01936,4810.24405,2339.91365,10.42910,39583.40426,65419.00000,2.43000,1.18106,56.85523,36.18895,57.84228,37.17600,47.27636,26.61008,20.66628,2.11891,27659.24177,8.54536,52335.20000,2.43000,1.18106,65.78180,41.44353,66.85316,42.51489,55.38469,31.04642,24.33827,2.03319,27115.14255,8.89399,98128.50000,4.00000,2.00000,44.86416,26.82242,45.34944,27.30769,40.15482,22.11308,18.04175,2.74977,36695.41866,5.84062,36550.00000,3.00000,1.00000,85.22711,52.67386,86.46905,53.91581,73.17463,40.62139,32.55324,1.91545,26718.97402,9.91281,11139.00000,1.00000,1.00000,186.90326,117.85412,190.86125,121.81211,148.49272,79.44358,69.04914,1.27600,17553.14591,11.76924,53842.79835,1.00000,1.00000,63.66756,45.35939,65.58583,47.27767,45.05155,26.74339,18.30816,1.63035,19996.59605,9.30757,26921.39918,1.00000,1.00000,101.00456,68.22831,103.58619,70.80994,75.95101,43.17476,32.77625,1.47447,18921.67020,10.39051,52335.20000,2.00000,0.00000,64.78249,45.87203,66.52872,47.61826,47.83611,28.92565,18.91046,1.65797,19700.92641,11.88115
'090116601011',411,1.34074,0.22175,0.01996,0.05449,5129.91510,2371.02074,11.28180,41504.21941,65419.00000,2.43000,1.18106,45.20936,25.52531,45.55394,25.86988,41.92263,22.23857,19.68406,2.04170,25961.18444,0.00000,52335.20000,2.43000,1.18106,52.40926,29.26281,52.75846,29.61201,49.07841,25.93195,23.14645,1.95741,25420.17814,0.00000,98128.50000,4.00000,2.00000,36.37013,19.04348,36.43354,19.10689,35.76529,18.43865,17.32664,2.67747,34607.65656,0.00000,36550.00000,3.00000,1.00000,68.29386,37.50850,68.35391,37.56855,67.72106,36.93570,30.78535,1.83857,24868.14682,0.70218,11139.00000,1.00000,1.00000,159.28242,94.38135,156.47123,91.57016,186.09687,121.19580,64.90107,1.20997,16380.08439,2.78477,53842.79835,1.00000,1.00000,49.43268,32.09544,50.16891,32.83166,42.41023,25.07299,17.33724,1.55422,18801.69553,0.00000,26921.39918,1.00000,1.00000,80.33896,49.39171,80.25989,49.31263,81.09324,50.14598,30.94726,1.40278,17736.37712,0.97305,52335.20000,2.00000,0.00000,49.84658,32.18615,50.51659,32.85617,43.45569,25.79526,17.66043,1.56782,18112.84105,1.19815
'090116601012',438,0.69220,0.16569,0.01891,0.04880,6052.27837,2483.44200,10.89120,33494.42379,65419.00000,2.43000,1.18106,56.24650,36.21646,56.54661,36.51656,52.89534,32.86530,20.03004,2.08747,26230.69058,1.83782,52335.20000,2.43000,1.18106,65.05397,41.49012,65.33548,41.77164,61.91041,38.34656,23.56384,2.00312,25689.37993,2.12117,98128.50000,4.00000,2.00000,44.58132,26.90283,44.58665,26.90816,44.52182,26.84333,17.67849,2.73544,35245.45551,0.00000,36550.00000,3.00000,1.00000,84.11701,52.73681,84.31643,52.93623,81.89015,50.50996,31.38020,1.88751,25118.02728,3.20601,11139.00000,1.00000,1.00000,187.17401,121.19580,187.17401,121.19580,187.17401,121.19580,65.97821,1.24249,16459.73695,4.33888,53842.79835,1.00000,1.00000,62.92860,45.34063,64.03574,46.44777,50.56557,32.97759,17.58797,1.58711,18883.49711,2.33813,26921.39918,1.00000,1.00000,99.70107,68.27743,101.04697,69.62333,84.67189,53.24825,31.42364,1.43550,17817.23330,3.21830,52335.20000,2.00000,0.00000,63.59337,45.71907,64.39168,46.51738,54.67895,36.80465,17.87430,1.60695,17965.20787,5.56948
'090116601013',549,0.91508,0.19892,0.01667,0.03696,5535.17912,2342.27745,10.46300,45502.95567,65419.00000,2.43000,1.18106,57.56370,37.70468,59.92652,40.06750,45.51332,25.65430,19.85901,2.06572,26086.19429,0.00000,52335.20000,2.43000,1.18106,66.58382,43.22638,69.19481,45.83737,53.26778,29.91034,23.35744,1.98144,25544.20151,0.30321,98128.50000,4.00000,2.00000,45.66817,28.19154,47.05829,29.58166,38.57857,21.10194,17.47663,2.70494,34829.95187,0.00000,36550.00000,3.00000,1.00000,86.08849,54.99022,89.18665,58.08838,70.28788,39.18961,31.09827,1.86561,24980.81251,1.54318,11139.00000,1.00000,1.00000,209.23751,143.71305,213.65265,148.12820,186.72025,121.19580,65.52445,1.22687,16457.84925,3.03324,53842.79835,1.00000,1.00000,64.27563,46.79487,68.38578,50.90502,43.31385,25.83309,17.48076,1.57106,18886.42590,0.56187,26921.39918,1.00000,1.00000,103.25407,72.03261,107.54557,76.32410,81.36745,50.14598,31.22147,1.41964,17818.04322,1.64908,52335.20000,2.00000,0.00000,65.05925,47.21641,68.76207,50.91923,46.17489,28.33206,17.84284,1.59369,18119.99938,4.06796
'090116601021',338,0.68207,0.12226,0.00832,0.03147,5389.16715,2233.09750,10.14220,36745.27559,65419.00000,2.43000,1.18106,49.64542,29.19802,56.65446,36.20706,29.10731,8.65991,20.44739,2.11123,27141.03803,0.13987,52335.20000,2.43000,1.18106,57.50536,33.43347,65.46991,41.39803,34.16738,10.09549,24.07189,2.02626,26595.97853,0.41999,98128.50000,4.00000,2.00000,39.61939,21.69594,44.59484,26.67139,25.04017,7.11672,17.92345,2.75211,36116.26272,0.00000,36550.00000,3.00000,1.00000,74.59533,42.46445,84.56668,52.43580,45.37695,13.24607,32.13088,1.91069,26084.84047,1.61245,11139.00000,1.00000,1.00000,185.08990,116.98171,216.23639,148.12820,93.82345,25.71526,68.10819,1.26512,17259.05809,2.79680,53842.79835,1.00000,1.00000,54.62415,36.54751,64.12554,46.04891,26.78285,8.70622,18.07663,1.61411,19709.28876,0.81889,26921.39918,1.00000,1.00000,87.30473,54.95451,101.27440,68.92418,46.37034,14.02012,32.35022,1.46058,18631.38001,1.68901,52335.20000,2.00000,0.00000,55.39443,36.87256,64.70086,46.17899,28.12443,9.60256,18.52187,1.64070,19041.31687,4.72380
'090116601022',839,0.79292,0.28559,0.02042,0.04527,5640.24395,1998.15349,10.27130,36837.40458,65419.00000,2.43000,1.18106,54.48235,34.70383,56.12350,36.34499,36.73012,16.95161,19.77851,2.06085,25905.84338,2.37623,52335.20000,2.43000,1.18106,62.99354,39.73123,64.84274,41.58044,42.99086,19.72856,23.26230,1.97707,25364.96849,2.69072,98128.50000,4.00000,2.00000,43.22366,25.81448,44.32553,26.91635,31.30486,13.89568,17.40918,2.70458,34513.97846,0.00000,36550.00000,3.00000,1.00000,81.50738,50.55723,83.60135,52.65120,58.85712,27.90698,30.95014,1.86281,24750.86253,3.98417,11139.00000,1.00000,1.00000,208.71286,143.34200,213.49906,148.12820,156.94102,91.57016,65.37086,1.22093,16454.55229,5.16805,53842.79835,1.00000,1.00000,61.27949,43.86065,63.58298,46.16414,36.36287,18.94404,17.41883,1.56157,18875.23554,2.94739,26921.39918,1.00000,1.00000,97.69818,66.57255,100.35000,69.22437,69.01370,37.88808,31.12563,1.41172,17810.32533,3.92431,52335.20000,2.00000,0.00000,61.46277,43.72678,63.70343,45.96744,37.22574,19.48975,17.73599,1.58490,17984.15218,6.97305
'090116601023',261,0.82938,0.23032,0.04324,0.07854,4856.22913,2205.02433,10.81550,32493.60731,65419.00000,2.43000,1.18106,54.14705,34.22991,60.03646,40.11932,42.36822,22.45109,19.91714,2.06303,26273.83979,9.45336,52335.20000,2.43000,1.18106,62.77336,39.34031,69.36375,45.93071,49.59257,26.15952,23.43304,1.97868,25738.22853,9.77870,98128.50000,4.00000,2.00000,43.44026,25.85895,47.19611,29.61479,35.92857,18.34725,17.58132,2.71084,35188.40980,7.31616,36550.00000,3.00000,1.00000,82.32835,51.14797,89.43448,58.25410,68.11609,36.93570,31.18038,1.86163,25147.58351,10.64392,11139.00000,1.00000,1.00000,194.46626,128.68337,198.21005,132.42716,186.97869,121.19580,65.78289,1.22054,16644.40735,12.37635,53842.79835,1.00000,1.00000,59.87533,42.36122,68.51944,51.00533,42.58710,25.07299,17.51411,1.56521,19027.92408,10.07911,26921.39918,1.00000,1.00000,99.12027,67.81594,107.95525,76.65092,81.45031,50.14598,31.30433,1.41359,17979.36422,11.08972,52335.20000,2.00000,0.00000,60.29033,42.54951,68.66746,50.92663,43.53608,25.79526,17.74083,1.58010,18054.37885,12.00838
'090116601024',354,1.63517,0.55537,0.11610,0.18826,4976.95026,2083.02135,10.05580,50063.77551,65419.00000,2.43000,1.18106,43.41679,24.46604,44.83106,25.88031,40.55198,21.60123,18.95075,1.97810,24741.22434,5.85331,52335.20000,2.43000,1.18106,51.68080,29.41487,53.79347,31.52754,47.40130,25.13537,22.26593,1.89493,24216.36068,6.37525,98128.50000,4.00000,2.00000,35.53476,18.65818,36.05139,19.17481,34.48824,17.61167,16.87658,2.63201,33264.68430,2.10829,36550.00000,3.00000,1.00000,70.47677,41.03089,74.58952,45.14364,62.14582,32.69994,29.44588,1.77284,23518.93915,7.83325,11139.00000,1.00000,1.00000,186.85620,124.98459,209.99980,148.12820,139.97557,78.10396,61.87161,1.15068,15619.46875,10.61254,53842.79835,1.00000,1.00000,45.84538,29.26861,49.40895,32.83218,38.62686,22.05009,16.57677,1.48699,17927.09667,6.92715,26921.39918,1.00000,1.00000,82.25635,52.70112,90.84476,61.28953,64.85931,35.30409,29.55522,1.33904,16911.92192,8.54843,52335.20000,2.00000,0.00000,46.24935,29.75479,49.11312,32.61857,40.44837,23.95381,16.49455,1.47485,16691.13243,10.40853
