Year,Town,Industry,Units,Annual Average Employment,Total Annual Wages,Annual Average Wage
2012,Andover,Total - All Industries,51,360.8333333,12128973,33613.78199
2012,Ansonia,Total - All Industries,311,3794.083333,141110436,37192.23422
2012,Ashford,Total - All Industries,80,537,17686556,32935.85847
2012,Avon,Total - All Industries,738,8367.083333,432076794,51640.07298
2012,Barkhamsted,Total - All Industries,82,1145.333333,34388775,30025.12369
2012,Beacon Falls,Total - All Industries,113,855.25,39688058,46405.21251
2012,Berlin,Total - All Industries,728,11447.66667,635501523,55513.62924
2012,Bethany,Total - All Industries,139,1091.666667,52747029,48317.88916
2012,Bethel,Total - All Industries,621,7026.722222,370202987,52685.01803
2012,Bethlehem,Total - All Industries,107,710.5,22733505,31996.48839
2012,Bloomfield,Total - All Industries,807,19057.58333,1426530034,74853.66896
2012,Bolton,Total - All Industries,116,1249.5,50217504,40190.07923
2012,Bozrah,Total - All Industries,73,1012,43910002,43389.33004
2012,Branford,Total - All Industries,1112,12399.55556,550024806,44358.4291
2012,Bridgeport,Total - All Industries,2428,42548.41667,2196415440,51621.55521
2012,Bridgewater,Total - All Industries,42,241.3333333,11307965,46856.20856
2012,Bristol,Total - All Industries,1230,21079.27778,1293070814,61343.22189
2012,Brookfield,Total - All Industries,638,6785.583333,303639958,44747.80473
2012,Brooklyn,Total - All Industries,151,1419.5,52362523,36888.00493
2012,Burlington,Total - All Industries,153,875,38270550,43737.77143
2012,Canaan,Total - All Industries,96,813.4166667,29449166,36204.28153
2012,Canterbury,Total - All Industries,79,491.25,15043298,30622.48957
2012,Canton,Total - All Industries,417,3219.166667,114053871,35429.62599
2012,Chaplin,Total - All Industries,51,345.25,9685449,28053.43664
2012,Cheshire,Total - All Industries,923,15162.08333,830551292,54778.17749
2012,Chester,Total - All Industries,163,2101.333333,96855457,46092.38119
2012,Clinton,Total - All Industries,437,4195.083333,156342730,37268.08685
2012,Colchester,Total - All Industries,348,3607.611111,150870831,41820.14811
2012,Columbia,Total - All Industries,130,1048.666667,39599307,37761.57692
2012,Connecticut,Total - All Industries,111900,1628100.528,1.01E+11,62156.64829
2012,Cornwall,Total - All Industries,88,429.75,14756399,34337.17045
2012,Coventry,Total - All Industries,190,1352.666667,48127501,35579.71981
2012,Cromwell,Total - All Industries,424,6473.583333,257033287,39704.94759
2012,Danbury,Total - All Industries,2505,42641.91667,2601467478,61007.28301
2012,Darien,Total - All Industries,989,7679,500287036,65150.02422
2012,Deep River,Total - All Industries,144,1471,56062372,38111.74167
2012,Derby,Total - All Industries,306,4800.666667,170885182,35596.13568
2012,Durham,Total - All Industries,201,2128.083333,92411950,43424.96769
2012,East Granby,Total - All Industries,214,3791.666667,208198937,54909.60976
2012,East Haddam,Total - All Industries,166,1406.75,51487982,36600.66252
2012,East Hampton,Total - All Industries,220,1860.916667,70991916,38148.8958
2012,East Hartford,Total - All Industries,1207,28635.41667,1959863092,68441.92682
2012,East Haven,Total - All Industries,532,6365.916667,250746672,39388.93409
2012,East Lyme,Total - All Industries,500,5435.75,236394425,43488.83319
2012,East Windsor,Total - All Industries,443,7309.333333,305352942,41775.75821
2012,Eastford,Total - All Industries,46,535.3333333,26270273,49072.7391
2012,Easton,Total - All Industries,217,911.5,44124666,48408.84915
2012,Ellington,Total - All Industries,318,3220.083333,128855957,40016.34233
2012,Enfield,Total - All Industries,989,18629.75,935528721,50216.92299
2012,Essex,Total - All Industries,364,3481.166667,181620853,52172.40954
2012,Fairfield,Total - All Industries,2323,23995.75,1468837553,61212.4044
2012,Farmington,Total - All Industries,1275,30195.30556,1933315235,64027.01345
2012,Franklin,Total - All Industries,101,1014,56484014,55704.15582
2012,Glastonbury,Total - All Industries,1364,16159.16667,894573183,55360.10621
2012,Goshen,Total - All Industries,93,392.5,12138551,30926.24459
2012,Granby,Total - All Industries,250,2335.722222,79818463,34172.92615
2012,Greenwich,Total - All Industries,3983,34803.25,4547552534,130664.5941
2012,Griswold,Total - All Industries,188,1292.75,43970784,34013.36995
2012,Groton,Total - All Industries,1047,25753.5,1966882191,76373.39356
2012,Guilford,Total - All Industries,787,6820.333333,351570367,51547.38776
2012,Haddam,Total - All Industries,174,1298.75,49741837,38299.77825
2012,Hamden,Total - All Industries,1553,20106,883405167,43937.39018
2012,Hampton,Total - All Industries,26,156,4376499,28054.48077
2012,Hartford,Total - All Industries,3510,110963.6667,8818694570,79473.71275
2012,Hartland,Total - All Industries,35,145.3055556,4873806,33541.77327
2012,Harwinton,Total - All Industries,113,580.25,30580942,52703.04524
2012,Hebron,Total - All Industries,198,1781.333333,62535816,35106.18413
2012,Kent,Total - All Industries,168,1303.75,48790642,37423.31122
2012,Killingly,Total - All Industries,463,8334.833333,352093870,42243.66054
2012,Killingworth,Total - All Industries,144,669.5,31872849,47606.94399
2012,Lebanon,Total - All Industries,117,1348.166667,43127626,31989.83261
2012,Ledyard,Total - All Industries,243,12194.75,441976463,36243.17538
2012,Lisbon,Total - All Industries,95,1786.5,42404608,23736.13658
2012,Litchfield,Total - All Industries,379,3319,126383122,38078.6749
2012,Lyme,Total - All Industries,65,204.9166667,10463186,51060.68808
2012,Madison,Total - All Industries,623,4790.083333,209607089,43758.54749
2012,Manchester,Total - All Industries,1644,27795.41667,1169764823,42084.80977
2012,Mansfield,Total - All Industries,342,10998,536293202,48762.79342
2012,Marlborough,Total - All Industries,161,1128.666667,48680639,43131.10366
2012,Meriden,Total - All Industries,1309,22334.83333,1044979138,46786.96825
2012,Middlebury,Total - All Industries,264,3845.666667,213758467,55584.24209
2012,Middlefield,Total - All Industries,141,1762.166667,89432132,50751.23352
2012,Middletown,Total - All Industries,1253,27466.08333,1636813469,59593.98903
2012,Milford,Total - All Industries,1942,28391.66667,1375309988,48440.62183
2012,Monroe,Total - All Industries,602,5380.583333,257947876,47940.50385
2012,Montville,Total - All Industries,359,13901.08333,523125197,37631.97331
2012,Morris,Total - All Industries,77,463,14972536,32338.09071
2012,Naugatuck,Total - All Industries,550,7406.416667,320654074,43294.09057
2012,New Britain,Total - All Industries,1146,25321.19444,1316807293,52004.15391
2012,New Canaan,Total - All Industries,944,6370.75,423707170,66508.20861
2012,New Fairfield,Total - All Industries,252,1595.583333,75915598,47578.58547
2012,New Hartford,Total - All Industries,167,1446.916667,55204118,38152.93532
2012,New Haven,Total - All Industries,3111,79278.75,4902682963,61841.07296
2012,New London,Total - All Industries,836,14127.75,721144523,51044.54163
2012,New Milford,Total - All Industries,840,8403.694444,349663822,41608.34551
2012,Newington,Total - All Industries,921,16124.33333,768758610,47676.9237
2012,Newtown,Total - All Industries,769,7609.166667,380887697,50056.42716
2012,Norfolk,Total - All Industries,71,324.1666667,10547913,32538.5491
2012,North Branford,Total - All Industries,360,4400,197104548,44796.48818
2012,North Canaan,Total - All Industries,127,1871.666667,85118410,45477.33393
2012,North Haven,Total - All Industries,1070,18801.5,953326183,50704.79393
