blkgrp,households,residential_density,gross_hh_density,block_denstiy,intersection_density,employment_access_index,job_diversity_index,average_median_commute_distance,per_capita_income,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_ht_own,hh_type2_h_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_ht_own,hh_type3_h_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_ht_own,hh_type4_h_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_ht_own,hh_type5_h_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_ht_own,hh_type6_h_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_ht_own,hh_type7_h_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_ht_own,hh_type8_h_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips
'090052501001',491,0.75960,0.09978,0.00874,0.03109,6689.62433,2242.98979,11.64240,37017.16738,69639.00000,2.45000,1.19663,58.09636,38.62306,60.47354,41.00024,36.65329,17.17999,19.47330,2.13648,27515.36535,14.47663,55711.20000,2.45000,1.19663,67.15972,44.22549,69.79406,46.85983,43.39690,20.46267,22.93423,2.05127,26968.22070,14.78102,104458.50000,4.00000,2.00000,47.23461,28.62368,48.83070,30.21977,32.83725,14.22632,18.61093,2.78141,36513.83272,12.10166,38700.00000,3.00000,1.00000,87.28337,56.59535,90.29188,59.60386,60.14539,29.45736,30.68802,1.92755,26386.63750,15.72394,11139.00000,1.00000,1.00000,203.67134,135.78225,207.37839,139.48930,170.23220,102.34312,67.88909,1.25978,17152.82856,17.42278,56848.16327,1.00000,1.00000,66.46962,49.29757,69.71162,52.53957,37.22546,20.05342,17.17205,1.61962,19686.18338,15.19938,28424.08163,1.00000,1.00000,105.45193,74.70672,109.28767,78.54245,70.85205,40.10684,30.74521,1.46659,18608.84497,16.14491,55711.20000,2.00000,0.00000,66.82081,49.27479,70.01492,52.46889,38.00870,20.46267,17.54603,1.64791,19253.04514,17.49474
'090052501002',243,0.00000,0.04361,0.00467,0.01759,7131.23765,2229.71244,13.17740,37446.35193,69639.00000,2.45000,1.19663,54.14345,33.57411,54.94376,34.37442,49.68767,29.11833,20.56934,2.23998,29304.92727,27.74575,55711.20000,2.45000,1.19663,62.70353,38.43891,63.49956,39.23494,58.27158,34.00696,24.26462,2.15383,28755.74511,27.74575,104458.50000,4.00000,2.00000,44.56672,24.96047,44.81789,25.21164,43.16829,23.56205,19.60624,2.89842,39017.24961,27.53662,38700.00000,3.00000,1.00000,81.75913,49.14274,82.42952,49.81312,78.02673,45.41034,32.61639,2.03499,28213.64953,27.79693,11139.00000,1.00000,1.00000,211.81403,139.30004,220.64219,148.12820,162.66265,90.14866,72.51399,1.33804,18390.16757,27.79693,56848.16327,1.00000,1.00000,60.08885,41.91490,62.40570,44.23176,47.18960,29.01566,18.17394,1.70476,20938.40519,27.79693,28424.08163,1.00000,1.00000,95.63174,62.97885,98.50363,65.85073,79.64232,46.98942,32.65290,1.54881,19854.73770,27.79693,55711.20000,2.00000,0.00000,61.27106,42.64599,62.93212,44.30705,52.02298,33.39791,18.62507,1.75006,20377.02723,28.05724
'090052531001',1144,1.74574,1.23117,0.05273,0.13345,8342.48305,2830.81507,13.64440,29847.55556,69639.00000,2.45000,1.19663,42.62281,25.45256,46.62010,29.44985,34.15987,16.98963,17.17025,1.96488,22786.77500,15.75582,55711.20000,2.45000,1.19663,49.41428,29.27716,53.87437,33.73724,39.97154,19.83442,20.13712,1.88335,22250.65098,16.29990,104458.50000,4.00000,2.00000,36.14547,19.34893,38.75370,21.95715,30.62343,13.82688,16.79655,2.61672,30852.94746,15.76161,38700.00000,3.00000,1.00000,64.08287,37.55166,69.49176,42.96055,52.63135,26.10014,26.53121,1.75922,21281.32667,17.80727,11139.00000,1.00000,1.00000,148.62399,91.11108,159.85602,102.34312,124.84390,67.33100,57.51290,1.11636,13782.85510,18.53305,56848.16327,1.00000,1.00000,45.91309,31.04312,52.43792,37.56796,32.09892,17.22896,14.86996,1.44935,16235.71072,14.55889,28424.08163,1.00000,1.00000,73.77184,47.36182,82.97916,56.56915,54.27840,27.86839,26.41001,1.30774,15192.60553,16.24895,55711.20000,2.00000,0.00000,45.81991,31.16689,51.62451,36.97148,33.53063,18.87761,14.65302,1.45318,14748.22399,16.38606
'090052531002',335,1.17567,1.03411,0.02470,0.11113,6589.51848,2560.48738,16.92440,31537.65690,69639.00000,2.45000,1.19663,46.72161,28.77556,48.51195,30.56590,35.47361,17.52757,17.94605,2.01130,24585.69723,15.10279,55711.20000,2.45000,1.19663,54.07016,32.98470,56.06470,34.97925,41.53920,20.45374,21.08546,1.92908,24043.70572,15.52151,104458.50000,4.00000,2.00000,38.86264,21.44631,40.21916,22.80283,30.34012,12.92379,17.41633,2.66474,32927.11568,18.85497,38700.00000,3.00000,1.00000,69.95039,42.04327,72.36050,44.45338,54.80862,26.90149,27.90712,1.80714,23106.43848,15.43411,11139.00000,1.00000,1.00000,159.06408,97.70740,165.94182,104.58515,115.85392,54.49725,61.35667,1.15206,15296.30468,16.87741,56848.16327,1.00000,1.00000,51.77133,36.08840,54.70707,39.02413,33.32727,17.64433,15.68293,1.49008,17792.01882,13.81888,28424.08163,1.00000,1.00000,82.41351,54.44275,86.54239,58.57163,56.47341,28.50265,27.97076,1.34633,16730.68755,15.11956,55711.20000,2.00000,0.00000,51.29763,35.74392,53.92244,38.36873,34.80697,19.25327,15.55371,1.50474,16342.08975,9.40543
'090052532001',727,0.93508,0.22592,0.00715,0.03418,6306.70676,2502.73940,14.27670,35305.04732,69639.00000,2.45000,1.19663,53.73299,34.85555,55.30341,36.42598,38.26313,19.38569,18.87744,2.08482,26448.44059,9.50973,55711.20000,2.45000,1.19663,62.24453,40.03318,63.84858,41.63722,46.44347,24.23211,22.21136,2.00055,25900.57244,9.86533,104458.50000,4.00000,2.00000,44.05438,25.94467,45.07747,26.96776,33.97611,15.86641,18.10971,2.72684,35139.68268,10.43362,38700.00000,3.00000,1.00000,80.87900,51.26201,82.54165,52.92466,64.50071,34.88372,29.61699,1.87823,25198.38372,10.06166,11139.00000,1.00000,1.00000,210.99161,145.64612,213.47369,148.12820,186.54129,121.19580,65.34549,1.21588,16483.62831,12.04629,56848.16327,1.00000,1.00000,61.10350,44.49585,63.20978,46.60213,40.35512,23.74747,16.60765,1.56886,19022.26784,9.44886,28424.08163,1.00000,1.00000,97.33032,67.64859,99.37622,69.69449,77.17667,47.49494,29.68173,1.41875,17942.68205,10.55345,55711.20000,2.00000,0.00000,61.13876,44.28102,63.17403,46.31629,41.08986,24.23211,16.85775,1.59796,18290.87533,7.52674
'090052532002',922,1.02330,0.27598,0.01646,0.04550,6510.82226,2355.41669,12.41560,36923.07692,69639.00000,2.45000,1.19663,56.22702,37.56683,56.16666,37.50646,57.43157,38.77138,18.66020,2.06400,26071.09540,12.68269,55711.20000,2.45000,1.19663,65.10854,43.15883,64.84267,42.89296,70.41393,48.46422,21.94971,1.98005,25526.76977,13.06231,104458.50000,4.00000,2.00000,45.64532,27.70172,45.73824,27.79464,43.79118,25.84759,17.94360,2.70844,34684.02004,11.27841,38700.00000,3.00000,1.00000,84.51206,55.27187,83.78563,54.54544,99.00763,69.76744,29.24019,1.85713,24813.08042,13.85701,11139.00000,1.00000,1.00000,255.43465,191.09735,252.86410,188.52680,306.72890,242.39160,64.33730,1.19725,16207.82665,15.97567,56848.16327,1.00000,1.00000,64.32303,47.94768,64.34572,47.97037,63.87029,47.49494,16.37535,1.54789,18720.59017,13.20282,28424.08163,1.00000,1.00000,104.13869,74.88838,103.13133,73.88101,124.24019,94.98988,29.25031,1.39877,17652.00845,14.38201,55711.20000,2.00000,0.00000,64.21766,47.63288,64.17600,47.59122,65.04900,48.46422,16.58478,1.57221,17959.81733,14.12657
'090052532003',956,1.40418,0.88158,0.03689,0.07838,8561.65436,2176.72737,12.52190,26835.87444,69639.00000,2.45000,1.19663,49.23044,31.69411,53.41882,35.88249,35.62285,18.08652,17.53633,1.99727,23475.58272,9.53056,55711.20000,2.45000,1.19663,56.94706,36.36614,61.65634,41.07542,41.64713,21.06622,20.58092,1.91536,22936.41695,10.00308,104458.50000,4.00000,2.00000,40.96974,23.92666,43.81273,26.76966,31.73316,14.69009,17.04308,2.64866,31472.78564,7.25206,38700.00000,3.00000,1.00000,73.64648,46.43812,79.44047,52.23211,54.82244,27.61409,27.20835,1.79285,22041.57478,11.36763,11139.00000,1.00000,1.00000,170.46174,111.14761,182.29044,122.97631,132.03162,72.71748,59.31414,1.14302,14365.30234,13.34703,56848.16327,1.00000,1.00000,54.61255,39.35003,61.05166,45.78913,33.69262,18.43009,15.26253,1.47879,16840.37622,9.89555,28424.08163,1.00000,1.00000,86.71900,59.56391,95.94245,68.78736,56.75302,29.59793,27.15509,1.33600,15787.82245,11.36333,55711.20000,2.00000,0.00000,54.40739,39.19011,60.25534,45.03806,35.40806,20.19078,15.21728,1.49055,15657.00890,12.56422
'090052533001',305,2.03027,0.45013,0.01919,0.09150,8884.96394,2274.81591,13.20410,32648.26087,69639.00000,2.45000,1.19663,52.58844,34.85319,52.71373,34.97848,52.10716,34.37191,17.73525,1.99415,24223.87078,5.98919,55711.20000,2.45000,1.19663,60.87463,40.05060,60.86805,40.04402,60.89991,40.07587,20.82403,1.91144,23680.37110,6.58638,104458.50000,4.00000,2.00000,43.15852,25.96727,43.18968,25.99843,43.03883,25.84759,17.19125,2.63874,32401.37703,4.80065,38700.00000,3.00000,1.00000,78.82376,51.22700,78.59968,51.00292,79.68450,52.08774,27.59676,1.78414,22930.87798,8.25274,11139.00000,1.00000,1.00000,208.13674,148.12820,208.13674,148.12820,208.13674,148.12820,60.00855,1.14548,14713.47995,9.80127,56848.16327,1.00000,1.00000,58.06226,42.61924,60.05599,44.61297,50.40381,34.96080,15.44301,1.48705,17220.21042,5.43915,28424.08163,1.00000,1.00000,92.65508,65.18155,94.51181,67.03828,85.52290,58.04937,27.47353,1.34180,16154.19432,7.29419,55711.20000,2.00000,0.00000,58.11874,42.60883,59.69423,44.18433,52.06683,36.55693,15.50990,1.48909,16498.99031,7.95076
'090052533002',519,0.55458,0.54959,0.00953,0.06989,9157.54079,2108.49232,11.59590,32976.29310,69639.00000,2.45000,1.19663,50.92144,32.47058,51.65571,33.20485,44.32716,25.87629,18.45086,2.09194,24841.41300,16.06495,55711.20000,2.45000,1.19663,58.85752,37.16929,59.64047,37.95224,51.82604,30.13781,21.68823,2.00955,24294.60372,16.30261,104458.50000,4.00000,2.00000,42.11452,24.26726,42.57813,24.73088,37.95093,20.10368,17.84725,2.75355,33323.01794,13.36953,38700.00000,3.00000,1.00000,76.08805,47.29519,76.93069,48.13783,68.52042,39.72756,28.79286,1.89150,23390.38757,17.88979,11139.00000,1.00000,1.00000,184.57100,121.19580,184.57100,121.19580,184.57100,121.19580,63.37520,1.21932,15362.59833,17.48770,56848.16327,1.00000,1.00000,56.98084,40.83329,58.62323,42.47568,42.23085,26.08330,16.14755,1.55858,17893.50351,15.75172,28424.08163,1.00000,1.00000,90.74073,61.90319,92.34508,63.50754,76.33248,47.49494,28.83754,1.41431,16817.20684,16.48997,55711.20000,2.00000,0.00000,56.68831,40.53914,57.96089,41.81172,45.25960,29.11043,16.14917,1.58462,16531.31638,20.84665
'090052534001',789,0.88908,0.14033,0.01014,0.02330,6741.78066,2447.51701,14.65340,36999.61089,69639.00000,2.45000,1.19663,50.61031,31.47183,53.68698,34.54849,37.82103,18.68255,19.13849,2.10244,26990.32533,14.94224,55711.20000,2.45000,1.19663,58.59384,36.06431,62.02014,39.49061,44.35118,21.82166,22.52952,2.01768,26443.76386,15.28488,104458.50000,4.00000,2.00000,41.89720,23.56807,43.83364,25.50451,33.84767,15.51854,18.32913,2.74314,35866.95858,15.99017,38700.00000,3.00000,1.00000,76.17466,46.05455,80.34753,50.22742,58.82862,28.70852,30.12011,1.89486,25849.78300,15.43546,11139.00000,1.00000,1.00000,179.12830,112.83959,187.48451,121.19580,144.39267,78.10396,66.28872,1.23098,16733.59090,17.34777,56848.16327,1.00000,1.00000,56.11412,39.29471,61.05702,44.23760,35.56720,18.74779,16.81941,1.58749,19262.68598,14.84499,28424.08163,1.00000,1.00000,89.34087,59.26226,96.23415,66.15554,60.68646,30.60785,30.07861,1.43588,18187.15907,15.90933,55711.20000,2.00000,0.00000,56.68471,39.49175,61.30659,44.11363,37.47219,20.27923,17.19296,1.61804,18830.34451,12.79661
