Join_Count,TARGET_FID,JOIN_FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID_AFF2,Shape_Leng,Shape_Area,STATEFP10_,COUNTYFP_1,COUSUBFP10,COUSUBNS10,GEOID10_1,NAME10_1,NAMELSAD_1,LSAD10,CLASSFP10,MTFCC10_1,CNECTAFP10,NECTAFP10,NCTADVFP10,FUNCSTAT_1,ALAND10_1,AWATER10_1,INTPTLAT_1,INTPTLON_1,GEOID_AF_1,Shape_Le_1,Shape_Ar_1
1,1,5,09,001,030300,09001030300,303,Census Tract 303,G5020,S,8268946.00000000000,5919424.00000000000,+41.0563491,-073.4736510,1400000US09001030300,17680.23682070000,14188874.01860000000,09,001,18850,00213416,0900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323.00000000000,28024048.00000000000,+41.0521498,-073.4797138,0600000US0900118850,39306.93720070000,60803610.04810000000
1,2,10,09,001,035300,09001035300,353,Census Tract 353,G5020,S,13442741.00000000000,46233.00000000000,+41.1215292,-073.4784315,1400000US09001035300,21234.77012550000,13489198.13650000000,09,001,50580,00213468,0900150580,New Canaan,New Canaan town,43,T1,G4040,720,71950,,A,57484075.00000000000,851634.00000000000,+41.1610538,-073.5011837,0600000US0900150580,32975.45958140000,58336241.54030000000
1,3,8,09,001,011000,09001011000,110,Census Tract 110,G5020,S,4449326.00000000000,3865378.00000000000,+41.0122609,-073.5766968,1400000US09001011000,15657.58425390000,8315090.68004000000,09,001,33620,00213435,0900133620,Greenwich,Greenwich town,43,T1,G4040,720,71950,,A,123340560.00000000000,50949017.00000000000,+41.0434601,-073.6284133,0600000US0900133620,56780.31549890000,174296342.96700000000
1,4,5,09,001,030100,09001030100,301,Census Tract 301,G5020,S,11024824.00000000000,27898.00000000000,+41.1006634,-073.4881986,1400000US09001030100,16685.81203030000,11052978.16410000000,09,001,18850,00213416,0900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323.00000000000,28024048.00000000000,+41.0521498,-073.4797138,0600000US0900118850,39306.93720070000,60803610.04810000000
1,5,5,09,001,030200,09001030200,302,Census Tract 302,G5020,S,4579450.00000000000,45867.00000000000,+41.0854982,-073.4644649,1400000US09001030200,11414.07298100000,4625438.73923000000,09,001,18850,00213416,0900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323.00000000000,28024048.00000000000,+41.0521498,-073.4797138,0600000US0900118850,39306.93720070000,60803610.04810000000
1,6,5,09,001,030400,09001030400,304,Census Tract 304,G5020,S,3552882.00000000000,0.00000000000,+41.0670034,-073.4899354,1400000US09001030400,9977.54448544000,3552995.09330000000,09,001,18850,00213416,0900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323.00000000000,28024048.00000000000,+41.0521498,-073.4797138,0600000US0900118850,39306.93720070000,60803610.04810000000
1,7,5,09,001,030500,09001030500,305,Census Tract 305,G5020,S,5351221.00000000000,5422.00000000000,+41.0808098,-073.5000669,1400000US09001030500,11344.93101860000,5356797.28897000000,09,001,18850,00213416,0900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323.00000000000,28024048.00000000000,+41.0521498,-073.4797138,0600000US0900118850,39306.93720070000,60803610.04810000000
1,8,6,09,001,105100,09001105100,1051,Census Tract 1051,G5020,S,31837542.00000000000,1272596.00000000000,+41.2338658,-073.3085559,1400000US09001105100,36722.42046720000,33109877.82440000000,09,001,23890,00213427,0900123890,Easton,Easton town,43,T1,G4040,720,71950,,A,71013698.00000000000,3217796.00000000000,+41.2649447,-073.3004792,0600000US0900123890,45011.84961020000,74230631.51320000000
1,9,6,09,001,105200,09001105200,1052,Census Tract 1052,G5020,S,39176156.00000000000,1945200.00000000000,+41.2806799,-073.2995681,1400000US09001105200,34313.18703150000,41120753.68890000000,09,001,23890,00213427,0900123890,Easton,Easton town,43,T1,G4040,720,71950,,A,71013698.00000000000,3217796.00000000000,+41.2649447,-073.3004792,0600000US0900123890,45011.84961020000,74230631.51320000000
1,10,7,09,001,060100,09001060100,601,Census Tract 601,G5020,S,3985964.00000000000,0.00000000000,+41.2140780,-073.2415497,1400000US09001060100,9894.41536075000,3985955.20332000000,09,001,26620,00213429,0900126620,Fairfield,Fairfield town,43,T1,G4040,720,71950,,A,77447647.00000000000,3827049.00000000000,+41.1759399,-073.2720460,0600000US0900126620,43249.10978970000,81275127.75790000000
1,11,7,09,001,060200,09001060200,602,Census Tract 602,G5020,S,4052924.00000000000,116565.00000000000,+41.2154643,-073.2558653,1400000US09001060200,11997.18073490000,4169484.84128000000,09,001,26620,00213429,0900126620,Fairfield,Fairfield town,43,T1,G4040,720,71950,,A,77447647.00000000000,3827049.00000000000,+41.1759399,-073.2720460,0600000US0900126620,43249.10978970000,81275127.75790000000
1,12,7,09,001,060300,09001060300,603,Census Tract 603,G5020,S,11682426.00000000000,945826.00000000000,+41.2019057,-073.2742566,1400000US09001060300,16332.08352940000,12628245.10890000000,09,001,26620,00213429,0900126620,Fairfield,Fairfield town,43,T1,G4040,720,71950,,A,77447647.00000000000,3827049.00000000000,+41.1759399,-073.2720460,0600000US0900126620,43249.10978970000,81275127.75790000000
1,13,7,09,001,060400,09001060400,604,Census Tract 604,G5020,S,22385490.00000000000,0.00000000000,+41.1853604,-073.3058106,1400000US09001060400,19580.20989440000,22385558.36650000000,09,001,26620,00213429,0900126620,Fairfield,Fairfield town,43,T1,G4040,720,71950,,A,77447647.00000000000,3827049.00000000000,+41.1759399,-073.2720460,0600000US0900126620,43249.10978970000,81275127.75790000000
1,14,7,09,001,060500,09001060500,605,Census Tract 605,G5020,S,5465011.00000000000,17867.00000000000,+41.1485353,-073.2878432,1400000US09001060500,12961.85284610000,5482930.93328000000,09,001,26620,00213429,0900126620,Fairfield,Fairfield town,43,T1,G4040,720,71950,,A,77447647.00000000000,3827049.00000000000,+41.1759399,-073.2720460,0600000US0900126620,43249.10978970000,81275127.75790000000
