blkgrp,households,residential_density,gross_hh_density,block_denstiy,intersection_density,employment_access_index,job_diversity_index,average_median_commute_distance,per_capita_income,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_ht_own,hh_type1_h_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_ht_own,hh_type2_h_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_ht_own,hh_type3_h_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_ht_own,hh_type4_h_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_ht_own,hh_type5_h_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_ht_own,hh_type6_h_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_ht_own,hh_type7_h_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_ht_own,hh_type8_h_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips
'090158003001',455,2.17919,1.04463,0.06888,0.14005,11613.69092,3793.38411,12.57180,6763.53791,59370.00000,2.56000,1.21500,38.51578,20.25053,53.63665,35.37140,32.91377,14.64852,18.26525,1.85570,20906.21646,15.05882,47496.00000,2.56000,1.21500,46.46631,24.46571,66.21484,44.21425,39.14983,17.14924,22.00059,1.77458,20367.45379,16.78232,89055.00000,4.00000,2.00000,32.20718,15.18373,40.60439,23.58093,29.09617,12.07272,17.02345,2.43256,30028.08893,3.36370,36350.00000,3.00000,1.00000,55.89130,29.98731,79.81864,53.91465,47.02665,21.12267,25.90398,1.63012,19140.56755,37.38537,11139.00000,1.00000,1.00000,125.61759,67.27762,183.83621,125.49625,104.04864,45.70868,58.33996,1.21569,12832.10934,0.00000,46382.81250,1.00000,1.00000,42.29953,24.41633,63.15860,45.27539,34.57163,16.68842,17.88320,1.53980,13980.91708,0.00000,23191.40625,1.00000,1.00000,72.54366,40.73658,109.00109,77.19402,59.03684,27.22976,31.80707,1.38231,13422.69348,0.00000,47496.00000,2.00000,0.00000,38.44258,23.90598,58.75085,44.21425,30.91874,16.38213,14.53660,1.31088,10921.31239,44.08124
'090158003002',404,2.10411,1.17616,0.06114,0.17177,12731.37432,3747.17312,13.41400,12296.58537,59370.00000,2.56000,1.21500,33.11605,14.92031,51.41034,33.21461,26.35646,8.16073,18.19573,1.85305,20750.98384,14.97346,47496.00000,2.56000,1.21500,39.19251,17.27923,60.10553,38.19225,31.46532,9.55205,21.91328,1.77193,20211.42168,16.66135,89055.00000,4.00000,2.00000,28.51602,11.52530,41.43242,24.44170,23.74352,6.75280,16.99072,2.43743,29802.62161,2.50515,36350.00000,3.00000,1.00000,46.78448,21.01452,71.85298,46.08301,37.52188,11.75192,25.76996,1.62620,18969.25133,36.94331,11139.00000,1.00000,1.00000,105.49327,47.46563,165.20584,107.17820,83.42998,25.40234,58.02764,1.20939,12760.34021,0.00000,46382.81250,1.00000,1.00000,36.00878,18.20294,60.14206,42.33622,27.09174,9.28590,17.80584,1.53350,13914.25878,0.00000,23191.40625,1.00000,1.00000,60.50812,28.85309,97.61517,65.96014,46.79738,15.14235,31.65503,1.37601,13353.55175,0.00000,47496.00000,2.00000,0.00000,32.57258,18.17659,57.20455,42.80857,23.47127,9.07529,14.39598,1.29801,10815.54244,44.35576
'090158003003',521,2.04631,1.78617,0.07200,0.23656,13347.65692,3781.00381,18.59840,18852.70270,59370.00000,2.56000,1.21500,45.68611,27.47393,53.46892,35.25675,38.33890,20.12673,18.21218,1.85446,20823.87566,4.81153,47496.00000,2.56000,1.21500,53.74422,31.81020,62.48321,40.54919,45.49436,23.56033,21.93403,1.77334,20284.89976,6.47141,89055.00000,4.00000,2.00000,38.21582,21.18694,42.97789,25.94901,33.72029,16.69141,17.02888,2.45185,29720.67950,0.00000,36350.00000,3.00000,1.00000,64.44238,38.66974,74.70460,48.93196,54.75455,28.98191,25.77264,1.62347,19069.33153,26.50086,11139.00000,1.00000,1.00000,148.24810,89.96187,172.22073,113.93450,125.61723,67.33100,58.28623,1.20840,12912.01004,0.00000,46382.81250,1.00000,1.00000,51.45183,33.58803,62.80672,44.94293,40.73247,22.86867,17.86379,1.53251,14062.18088,0.00000,23191.40625,1.00000,1.00000,84.98706,53.21370,101.84175,70.06839,69.07574,37.30237,31.77336,1.37502,13503.29493,0.00000,47496.00000,2.00000,0.00000,47.88161,33.53112,59.76094,45.41045,36.66717,22.31668,14.35049,1.27824,11097.77934,34.47684
'090158004001',298,2.48441,0.97045,0.04885,0.12375,9164.85842,3264.00144,8.23141,20862.05357,59370.00000,2.56000,1.21500,47.96133,29.40564,57.31435,38.75866,32.64887,14.09317,18.55570,1.87187,21486.32531,11.48091,47496.00000,2.56000,1.21500,56.26493,33.90523,66.91486,44.55516,38.82921,16.46951,22.35970,1.79075,20937.75859,13.34102,89055.00000,4.00000,2.00000,39.37676,22.12694,45.73372,28.48391,28.96934,11.71952,17.24981,2.45150,30671.90013,2.75165,36350.00000,3.00000,1.00000,67.49438,41.01682,80.24734,53.76977,46.61566,20.13810,26.47756,1.65516,19759.14464,35.17575,11139.00000,1.00000,1.00000,157.86938,98.97116,183.77577,124.87756,115.45625,56.55804,58.89821,1.21153,13189.65731,0.00000,46382.81250,1.00000,1.00000,54.83626,36.79869,67.45009,49.41252,34.18529,16.14773,18.03756,1.53564,14401.13879,0.00000,23191.40625,1.00000,1.00000,90.14592,58.05373,109.01294,76.92075,59.25742,27.16523,32.09219,1.37815,13812.46105,0.00000,47496.00000,2.00000,0.00000,51.98405,36.96848,65.09580,50.08024,30.51790,15.50233,15.01557,1.34003,11553.41357,39.12288
'090158004002',474,1.60004,0.83328,0.03340,0.13361,8761.54182,3237.43650,8.32298,23222.66187,59370.00000,2.56000,1.21500,50.82377,31.68006,51.73588,32.59216,33.72178,14.57807,19.14371,1.93046,22237.42242,0.00000,47496.00000,2.56000,1.21500,59.50953,36.41896,60.54233,37.45175,40.14465,17.05407,23.09058,1.84934,21688.32265,0.00000,89055.00000,4.00000,2.00000,41.21232,23.32295,41.84536,23.95598,29.34297,11.45360,17.88937,2.54220,31826.44466,0.00000,36350.00000,3.00000,1.00000,71.47877,44.22196,72.64883,45.39202,49.54016,22.28336,27.25680,1.70548,20414.30568,15.71466,11139.00000,1.00000,1.00000,205.71974,144.30993,209.53801,148.12820,134.12729,72.71748,61.40981,1.26026,13795.71223,0.00000,46382.81250,1.00000,1.00000,58.99763,40.32022,60.21666,41.53925,36.14077,17.46337,18.67741,1.58437,15010.60128,0.00000,23191.40625,1.00000,1.00000,102.64575,69.31310,104.47969,71.14704,68.25938,34.92673,33.33265,1.42688,14420.26775,0.00000,47496.00000,2.00000,0.00000,55.99534,40.86216,57.26510,42.13193,32.18724,17.05407,15.13318,1.34986,11708.91908,28.44028
'090158004003',843,1.71765,1.49117,0.04068,0.09021,11791.83661,3804.59035,9.92975,17175.58140,59370.00000,2.56000,1.21500,43.10873,24.74980,51.23116,32.87224,36.66262,18.30370,18.35893,1.88678,20716.89827,0.00000,47496.00000,2.56000,1.21500,50.77837,28.66423,59.89506,37.78092,43.54321,21.42907,22.11414,1.80566,20178.32801,0.00000,89055.00000,4.00000,2.00000,36.37796,19.14509,41.40043,24.16756,32.39204,15.15917,17.23287,2.49230,29877.08266,0.00000,36350.00000,3.00000,1.00000,60.80766,34.86848,71.52242,45.58324,52.30425,26.36506,25.93918,1.65316,18935.86604,15.16625,11139.00000,1.00000,1.00000,137.03230,78.38457,164.40143,105.75371,115.31169,56.66396,58.64772,1.23930,12644.02259,0.00000,46382.81250,1.00000,1.00000,48.04963,30.07079,59.87728,41.89845,38.66300,20.68417,17.97884,1.56341,13791.60033,0.00000,23191.40625,1.00000,1.00000,79.64018,47.65977,97.16386,65.18345,65.73309,33.75267,31.98042,1.40592,13233.97441,0.00000,47496.00000,2.00000,0.00000,44.31520,30.02819,56.75049,42.46347,34.44635,20.15933,14.28702,1.29725,10662.93816,26.56535
'090158005001',899,2.67565,0.49558,0.01488,0.04190,7048.95217,2703.86512,11.89420,19487.23404,59370.00000,2.56000,1.21500,45.54503,26.09518,45.59791,26.14806,44.98055,25.53070,19.44985,1.91055,23407.23562,11.82801,47496.00000,2.56000,1.21500,53.47810,30.00584,53.50036,30.02810,53.24046,29.76820,23.47226,1.82943,22846.38836,13.76773,89055.00000,4.00000,2.00000,37.11356,19.20343,37.17684,19.26671,36.43800,18.52788,17.91013,2.48489,32924.88667,4.82738,36350.00000,3.00000,1.00000,64.20795,36.18102,64.21351,36.18658,64.14860,36.12166,28.02693,1.70737,21646.90321,36.32035,11139.00000,1.00000,1.00000,152.80727,90.45437,153.92306,91.57016,140.89588,78.54298,62.35290,1.22716,14787.53731,0.00000,46382.81250,1.00000,1.00000,51.85835,32.96034,52.18910,33.29109,48.32747,29.42946,18.89802,1.55127,16077.52391,0.00000,23191.40625,1.00000,1.00000,85.06543,51.29779,85.42890,51.66125,81.18532,47.41768,33.76765,1.39378,15450.69930,0.00000,47496.00000,2.00000,0.00000,49.39492,33.19202,49.91424,33.71133,43.85103,27.64813,16.20290,1.40856,13127.02007,38.66539
'090158005002',522,0.68658,0.10230,0.00549,0.01058,5196.10447,2511.61973,10.56750,28585.31746,59370.00000,2.56000,1.21500,52.10292,30.57509,55.19827,33.67044,36.83721,15.30938,21.52783,2.07403,26518.72345,30.98248,47496.00000,2.56000,1.21500,61.20444,35.13923,64.71292,38.64771,43.90128,17.83607,26.06521,1.99291,25953.06535,31.76136,89055.00000,4.00000,2.00000,42.57115,22.66095,44.66206,24.75185,32.25920,12.34900,19.91020,2.70654,37633.39916,0.00000,36350.00000,3.00000,1.00000,73.46966,42.45775,77.59951,46.58760,53.10200,22.09008,31.01191,1.85964,24416.12444,43.84732,11139.00000,1.00000,1.00000,169.87639,98.77639,178.43679,107.33680,127.65803,56.55804,71.10000,1.36511,17223.54273,30.94076,46382.81250,1.00000,1.00000,59.69356,38.60027,63.97615,42.88287,38.57258,17.47930,21.09328,1.68922,18544.28330,25.96165,23191.40625,1.00000,1.00000,98.02767,59.97899,104.49301,66.44433,66.14178,28.09310,38.04868,1.53173,17902.51486,28.38108,47496.00000,2.00000,0.00000,56.52089,39.28450,60.84116,43.60477,35.21409,17.97771,17.23639,1.49048,13961.98947,69.55075
'090158005003',365,0.87590,0.10053,0.01074,0.02011,4880.25360,2563.31184,10.36910,32814.76793,59370.00000,2.56000,1.21500,64.15449,42.70819,72.50905,51.06275,38.62669,17.18039,21.44630,2.06707,26430.01997,25.29268,47496.00000,2.56000,1.21500,75.43189,49.46769,84.59298,58.62877,47.43970,21.47549,25.96420,1.98595,25865.69070,26.23009,89055.00000,4.00000,2.00000,50.82228,31.04296,57.23335,37.45402,31.23292,11.45360,19.77932,2.68403,37470.97493,0.00000,36350.00000,3.00000,1.00000,91.15006,60.21001,101.67171,70.73166,59.00057,28.06052,30.94005,1.85564,24374.03610,39.74542,11139.00000,1.00000,1.00000,216.35687,145.55760,234.02549,163.22622,162.36943,91.57016,70.79927,1.36506,17113.80801,20.65262,46382.81250,1.00000,1.00000,75.47563,54.45936,86.10167,65.08539,43.00718,21.99090,21.01627,1.68917,18426.05380,14.66009,23191.40625,1.00000,1.00000,124.79652,86.89609,138.84119,100.94076,81.88224,43.98181,37.90043,1.53168,17788.41311,17.57196,47496.00000,2.00000,0.00000,72.62153,55.26238,83.67905,66.31991,38.83464,21.47549,17.35915,1.50525,14027.96268,62.25893
'090158005004',318,0.77939,0.17216,0.01787,0.03573,5601.23828,2721.67141,10.98410,17790.58442,59370.00000,2.56000,1.21500,51.37761,30.30578,54.40509,33.33325,33.92130,12.84946,21.07184,2.04692,25733.96404,16.83093,47496.00000,2.56000,1.21500,60.45724,34.95959,63.78171,38.28406,41.28845,15.79080,25.49765,1.96580,25173.54493,17.68964,89055.00000,4.00000,2.00000,41.17473,21.62597,43.12970,23.58093,29.90247,10.35371,19.54876,2.67897,36562.04972,0.00000,36350.00000,3.00000,1.00000,72.69159,42.41723,76.46971,46.19535,50.90709,20.63274,30.27436,1.82751,23698.43643,30.49534,11139.00000,1.00000,1.00000,170.23935,100.94801,176.06961,106.77826,136.62234,67.33100,69.29134,1.34858,16589.41559,14.47373,46382.81250,1.00000,1.00000,59.23857,38.60284,63.12918,42.49345,36.80551,16.16978,20.63573,1.67269,17876.66519,8.98432,23191.40625,1.00000,1.00000,98.15779,60.99607,103.12773,65.96601,69.50128,32.33957,37.16172,1.51520,17251.17054,11.65171,47496.00000,2.00000,0.00000,55.97242,39.19973,60.03227,43.25958,32.56350,15.79080,16.77270,1.45485,13573.44045,54.59250
